path,size_bytes,sha256,phase,category,generated_or_source,scientific_role
.github/pull_request_template.md,399,3f7d9f15bbaa76c49532696f3a71e4cded17b7e59a82c6d8a10063e040d281a2,shared,.github,generated_or_adapted,release administration and audit
.github/workflows/tests.yml,757,320e3d98b6b99b049fdc4edceb314c4719f44cdfdf2e2cc35bbcd5f28cfb884e,shared,.github,generated_or_adapted,release administration and audit
.gitignore,906,d771035d83c86faf527fb91ee422ebc082ef751866fbc9946650bff59c6714cd,shared,release_metadata,generated_or_adapted,release administration and audit
CITATION.cff,435,fffc8c320362e7329c5f65dedbf318d523cf0d349e8d832cb57cb8913d81f4cb,shared,release_metadata,generated_or_adapted,release administration and audit
README.md,3501,8763647a14b6b6401532f8adc1af3a16be36add82389de15d9ef2465da9c20aa,shared,release_metadata,generated_or_adapted,release administration and audit
configs/base.yaml,1336,6f876479c9d9afcc102e6d888ee0552753bcb78e6f2eb77cc7f4aa5189256c69,I,configs,source,protocol or configuration
configs/experiment_protocol_frozen.sha256,65,22efe23eb5e9fb4c50f08a3374fe70b67db1c9105359d44acde357fcda57b723,I,configs,source,protocol or configuration
configs/experiment_protocol_frozen.yaml,5995,0c7dd4d36ac055ab8f708f9ebb2763dd4a341c6b9a5967ddaa1f9d3347f43334,I,configs,source,protocol or configuration
configs/filter_sensitivity/protocol.sha256,65,74afb9aa54707aabe17d45cf1f06e7e486f67dd9bf71123d7e8751da3737e2f7,I,configs,source,protocol or configuration
configs/filter_sensitivity/protocol_freeze.json,179,745b2f0ea7e31b669e7caa30ee503321405171f0366648df64e35410505e4b68,I,configs,source,protocol or configuration
configs/filter_sensitivity_protocol_frozen.yaml,15478,9cb6fbc70b33454401c2e58aa9c00d8001f4feadc91c0332145fb2ef174bb7fa,I,configs,source,protocol or configuration
configs/grouped_cv.yaml,120,fef6a9c21af40bc4b18f3332d43b97deb4d0ef88614248ae293d7c08ef45887a,I,configs,source,protocol or configuration
configs/loso.yaml,97,aa621d3dde393f5931f1d034df6005ecc793d375f620f43727d1ff606342603c,I,configs,source,protocol or configuration
configs/observation_split.yaml,197,affd8560176fcf1f1e4533ec7211f31f8a4bd912b5badace03e54e79219de1a5,I,configs,source,protocol or configuration
configs/permutation.yaml,203,9d2b6f6b2591bfb2199a04d4c37420ee2ecbac51b8d7c618a059ce7563edd821,I,configs,source,protocol or configuration
configs/reconstruction.yaml,957,ab3ac0af75e2a79c3b0b06f7324d6de1683e6c8ae165940be7f2596f32a6cef0,I,configs,source,protocol or configuration
configs/source_identity.yaml,121,3aaa8607ee39554428eadada89528eb67b7ae57a0a7e33b3cbdb14d6e31f61d2,I,configs,source,protocol or configuration
configs/state_extension/search_plan_frozen.json,2785,b88f5925bd954f00f6e2adaf4834aa382f188674420cb35646e7f0955136753f,I,configs,source,protocol or configuration
configs/state_extension/search_plan_frozen.sha256,65,0499c0305771b49309b3c446d45bf54d3ebc702e760012c8a82dc842809413fa,I,configs,source,protocol or configuration
configs/state_extension/state_regime_mapping_v2_frozen.json,1337,4cd5fa777179ba89037562fc030c8827251232eb27d8668c44381d98c610b768,I,configs,source,protocol or configuration
configs/state_extension/state_regime_mapping_v2_frozen.sha256,65,3351438ec17320e65f2e959bb64249d7a9e7e0f7ea3c9a9250e6cecf2c019cdd,I,configs,source,protocol or configuration
