obsid,canonical_source,class_label,start_time,exposure,target_name,FPMA_available,FPMB_available,archive_status,download_status,processing_status,exclusion_reason,source_id,exposure_a,exposure_b,public_date_mjd,pointing_separation_arcmin,identity_status,census_candidate,issue_flag,comments,solar_activity,data_gap,nupsdout,archive_cycle,archive_url
30001002001,1A 1742-289,NS,2012-07-20T02:11:11.040,155667.3737,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,156788.6692,155667.3737,57112,1.6507143150850117,REVIEW_REQUIRED,False,1,STELLAR,null,42,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30001002001/
30001002002,1A 1742-289,NS,2012-08-04T01:06:05.760,11985.8666,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,12086.3827,11985.8666,57112,1.208274497076801,REVIEW_REQUIRED,False,1,OA on DET3,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30001002002/
30001002003,1A 1742-289,NS,2012-08-04T07:56:03.840,76848.208,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,77960.65,76848.208,57112,1.648461355639766,REVIEW_REQUIRED,False,1,OA on DET3,Solar flare,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30001002003/
30001002004,1A 1742-289,NS,2012-10-16T18:31:06.240,49609.5544,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,50165.2617,49609.5544,57112,1.4636492480859045,REVIEW_REQUIRED,False,0,null,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30001002004/
30001002006,1A 1742-289,NS,2013-04-26T01:01:03.360,37063.0917,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,37063.0917,37293.8233,57112,2.124699068239193,REVIEW_REQUIRED,False,0,ToO,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30001002006/
30001002008,1A 1742-289,NS,2014-06-18T02:21:07.200,32774.8726,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,33174.8164,32774.8726,57112,0.9638383930162524,REVIEW_REQUIRED,False,0,null,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30001002008/
30001002010,1A 1742-289,NS,2014-07-04T10:36:02.880,61146.3575,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,61489.6234,61146.3575,57112,2.202751220845168,REVIEW_REQUIRED,False,0,null,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30001002010/
30002002002,1A 1742-289,NS,2014-08-30T19:46:07.680,59942.6616,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,60309.2369,59942.6616,57513,1.4310391636402304,REVIEW_REQUIRED,False,0,null,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30002002002/
30002002004,1A 1742-289,NS,2014-09-27T17:31:03.360,67583.3421,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,67839.6769,67583.3421,57513,1.2687194420017682,REVIEW_REQUIRED,False,0,null,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30002002004/
30002002006,1A 1742-289,NS,2015-02-25T23:41:08.160,29593.5527,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,29593.5527,29663.7593,57513,2.9649953526073904,REVIEW_REQUIRED,False,0,null,null,0,null,0,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/00/3/30002002006/
