mission,obsid,physical_source
RXTE,80431-01-02-03,1a_1744_361
RXTE,80431-01-03-00,1a_1744_361
RXTE,91050-05-02-00,1a_1744_361
RXTE,93155-01-02-00,1a_1744_361
RXTE,93155-01-06-01,1a_1744_361
RXTE,93155-01-08-00,1a_1744_361
RXTE,95416-01-01-00,1a_1744_361
RXTE,96437-01-02-00,1a_1744_361
RXTE,10095-01-01-00,4u_0614_09
RXTE,40429-01-03-01,4u_0614_09
RXTE,50031-01-04-08,4u_0614_09
RXTE,80051-02-01-02,4u_0614_09
RXTE,92411-01-01-02,4u_0614_09
RXTE,93404-01-07-00,4u_0614_09
RXTE,95404-01-01-01,4u_0614_09
RXTE,96307-01-10-00,4u_0614_09
RXTE,90036-01-01-01,4u_1254_69
RXTE,90036-01-01-02,4u_1254_69
RXTE,90036-01-01-03,4u_1254_69
RXTE,90036-01-02-01,4u_1254_69
RXTE,93406-13-01-00,4u_1254_69
RXTE,95324-01-01-01,4u_1254_69
RXTE,95324-01-02-00,4u_1254_69
RXTE,95324-01-02-01,4u_1254_69
RXTE,70133-01-26-01,4u_1543_475
RXTE,70133-01-31-00,4u_1543_475
RXTE,70124-02-06-00,4u_1543_475
RXTE,70124-02-11-00,4u_1543_475
RXTE,10093-01-01-01,4u_1608_522
RXTE,60052-02-04-03,4u_1608_522
RXTE,70069-01-03-01,4u_1608_522
RXTE,92401-01-11-03,4u_1608_522
RXTE,93408-01-26-03,4u_1608_522
RXTE,93408-01-66-01,4u_1608_522
RXTE,94401-01-34-00,4u_1608_522
RXTE,96423-01-39-02,4u_1608_522
RXTE,30053-02-01-00,4u_1636_536
RXTE,60032-05-15-00,4u_1636_536
RXTE,92023-02-08-00,4u_1636_536
RXTE,91024-01-85-10,4u_1636_536
RXTE,93087-01-36-10,4u_1636_536
RXTE,94087-01-49-00,4u_1636_536
RXTE,95087-01-15-10,4u_1636_536
RXTE,96087-01-84-10,4u_1636_536
RXTE,20084-02-01-00,4u_1702_429
RXTE,40025-04-02-00,4u_1702_429
RXTE,50030-01-01-03,4u_1702_429
RXTE,50025-01-01-01,4u_1702_429
RXTE,50030-01-07-00,4u_1702_429
RXTE,50030-01-10-00,4u_1702_429
RXTE,50030-01-13-01,4u_1702_429
RXTE,94415-01-02-01,4u_1702_429
RXTE,70038-01-01-00,4u_1705_44
RXTE,91039-01-02-61,4u_1705_44
RXTE,93060-01-58-00,4u_1705_44
RXTE,93060-01-14-10,4u_1705_44
RXTE,94060-01-46-00,4u_1705_44
RXTE,95060-01-36-00,4u_1705_44
RXTE,96060-01-23-00,4u_1705_44
RXTE,96060-01-78-00,4u_1705_44
RXTE,10410-01-01-00,4u_1728_34
RXTE,40033-06-02-05,4u_1728_34
RXTE,50023-01-19-00,4u_1728_34
RXTE,70028-01-01-08,4u_1728_34
RXTE,92023-03-52-00,4u_1728_34
RXTE,92023-03-22-10,4u_1728_34
RXTE,92023-03-68-00,4u_1728_34
RXTE,96322-01-05-00,4u_1728_34
RXTE,20084-01-01-00,4u_1735_444
RXTE,40030-02-09-01,4u_1735_444
RXTE,50026-01-01-03,4u_1735_444
RXTE,91025-01-04-06,4u_1735_444
RXTE,91025-01-08-05,4u_1735_444
RXTE,91025-01-09-18,4u_1735_444
RXTE,93200-01-01-04,4u_1735_444
RXTE,96331-01-03-02,4u_1735_444
RXTE,70050-01-01-01,4u_1746_37
RXTE,70050-01-01-05,4u_1746_37
RXTE,70050-01-01-04,4u_1746_37
RXTE,70050-01-01-07,4u_1746_37
RXTE,70050-01-01-09,4u_1746_37
RXTE,90044-01-01-00,4u_1746_37
RXTE,90044-01-03-00,4u_1746_37
RXTE,91037-15-01-00,4u_1746_37
RXTE,20098-03-01-00,aql_x_1
RXTE,30073-05-01-00,aql_x_1
RXTE,50049-01-05-01,aql_x_1
RXTE,70069-03-02-03,aql_x_1
RXTE,91028-01-01-00,aql_x_1
RXTE,93076-01-09-00,aql_x_1
RXTE,94441-01-01-02,aql_x_1
RXTE,96440-01-08-06,aql_x_1
RXTE,20053-04-01-01,cyg_x_2
RXTE,40017-02-16-06,cyg_x_2
RXTE,70014-02-02-00,cyg_x_2
RXTE,90030-01-53-00,cyg_x_2
RXTE,91010-01-01-05,cyg_x_2
RXTE,90030-01-95-00,cyg_x_2
RXTE,95345-01-42-00,cyg_x_2
RXTE,90058-16-05-00,gro_j1655_40
RXTE,91702-01-71-04,gro_j1655_40
RXTE,20187-02-01-00,grs_1915_105
RXTE,40703-01-41-02,grs_1915_105
RXTE,80127-01-01-00,grs_1915_105
RXTE,90105-03-02-02,grs_1915_105
RXTE,20431-01-03-00,gs_1354_64
RXTE,20431-01-04-00,gs_1354_64
RXTE,20431-01-05-00,gs_1354_64
RXTE,30401-01-01-00,gs_1354_64
RXTE,30401-01-02-00,gs_1354_64
RXTE,30401-01-03-00,gs_1354_64
RXTE,30401-01-04-00,gs_1354_64
RXTE,10420-01-01-00,gx_339_4
RXTE,70109-01-28-00,gx_339_4
RXTE,80132-01-15-00,gx_339_4
RXTE,60705-01-80-00,gx_339_4
RXTE,92085-02-01-00,gx_339_4
RXTE,93409-01-04-01,gx_339_4
RXTE,96409-01-02-03,gx_339_4
RXTE,91015-01-01-00,hete_j1900_1_2455
RXTE,91057-01-03-01,hete_j1900_1_2455
RXTE,92049-01-04-00,hete_j1900_1_2455
RXTE,92049-01-49-00,hete_j1900_1_2455
RXTE,93030-01-48-00,hete_j1900_1_2455
RXTE,94030-01-24-00,hete_j1900_1_2455
RXTE,95030-01-27-00,hete_j1900_1_2455
RXTE,96030-01-32-00,hete_j1900_1_2455
RXTE,90052-03-01-00,igr_j00291_5934
RXTE,90425-01-01-13,igr_j00291_5934
RXTE,90425-01-02-14,igr_j00291_5934
RXTE,93013-07-18-00,igr_j00291_5934
RXTE,10416-01-01-00,ks_1731_260
RXTE,30061-01-01-02,ks_1731_260
RXTE,30061-01-02-06,ks_1731_260
RXTE,30061-01-04-00,ks_1731_260
RXTE,50031-02-01-01,ks_1731_260
RXTE,50031-02-02-04,ks_1731_260
RXTE,50031-02-03-00,ks_1731_260
RXTE,50031-02-03-08,ks_1731_260
RXTE,40414-01-01-00,mxb_1658_298
RXTE,40414-01-02-00,mxb_1658_298
RXTE,40414-01-14-00,mxb_1658_298
RXTE,50410-01-03-00,mxb_1658_298
RXTE,60048-01-02-00,mxb_1658_298
RXTE,60048-02-01-00,mxb_1658_298
RXTE,60048-03-03-00,mxb_1658_298
RXTE,60419-01-01-00,mxb_1658_298
RXTE,60084-03-02-00,sax_j1750_8_2900
RXTE,93044-08-02-00,sax_j1750_8_2900
RXTE,93432-01-02-05,sax_j1750_8_2900
RXTE,93432-01-05-02,sax_j1750_8_2900
RXTE,93432-01-08-01,sax_j1750_8_2900
RXTE,93432-01-11-03,sax_j1750_8_2900
RXTE,93432-01-14-03,sax_j1750_8_2900
RXTE,93432-01-17-02,sax_j1750_8_2900
RXTE,96085-04-01-00,sax_j1806_5_2215
RXTE,96085-04-03-03,sax_j1806_5_2215
RXTE,96085-04-05-03,sax_j1806_5_2215
RXTE,96085-04-09-00,sax_j1806_5_2215
