canonical_source,aliases,class_label,classification_evidence,classification_reference,nustar_obsids,rxte_available,current_phase1_membership,identity_status,usable_status,notes,source_id,ra_deg,dec_deg,coordinate_reference,secure_label,field_review_required,public_candidate_observations
4U 1543-475,4U1543-47|4U 1543-475|4U_1543m475,BH,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,80701319002|80702317002|90702326002|90702326004|90702326008,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,4u_1543_475,236.78466666666665,-47.669666666666664,https://arxiv.org/abs/1510.08869,True,False,5
Cyg X-1,Cyg X-1|Cyg X1|Cygnus X-1|HD 226868|Cygnus_X1,BH,Dynamical mass 21.2 +/- 2.2 Msun (Miller-Jones et al. 2021).,https://arxiv.org/abs/2102.09091,10002003001|30001011003|30001011005|30001011007|30001011009|30001011011|30002150002|30002150004|30002150006|30002150008|30101022002|30202032002|30302019002|30302019004|30302019006|30302019008|30302019010|30302019012|30702017002|30702017004|30702017006|80502335002|80502335004|80502335006|80902318002|80902318004|80902318006|90101019002|90101020002|90802013002|90802013004|91201326002,NOT_AUDITED,False,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Primary dynamical paper verified independently of NuSTAR spectra; source beyond Phase I.,cyg_x_1,299.59031556498,35.20160680908,SIMBAD TAP identity/astrometry snapshot new_bh_astrometry.csv,True,False,32
GRO J1655-40,GRO J1655-40|GROJ1655-40|GRO_J1655m40,BH,Secure dynamical BH; BlackCAT Table A.4 independently retains mass 6.0 +/-0.4 Msun; missing astrometry in adopted primary Table A.1 is resolved separately here.,https://www.nature.com/articles/378157a0,,VERIFIED_PHASE1_PRODUCTS,True,MATCHED_NOT_ELIGIBLE,NOT_IN_INITIAL_PROCESSING_CENSUS,Inherited secure evidence; NuSTAR identity independently audited.,gro_j1655_40,253.50058333333328,-39.84580555555556,https://www.nature.com/articles/378157a0,True,False,0
GRS 1009-45,GRS 1009-45|N.  Vel 93,BH,BlackCAT Table A.4 dynamical evidence; M1=>~ 4.4 Msun; references Filippenko1999;Shahbaz1996. Conservative dynamical inclusion.,https://arxiv.org/abs/1510.08869,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader dynamical-catalogue discovery outside the Phase-I roster.,grs_1009_45,153.39833333333334,-45.07646666666667,CDS J/A+A/587/A61 Table A.1,True,False,0
GRS 1124-684,GRS 1124-684|N.  Mus 91,BH,BlackCAT Table A.4 dynamical evidence; M1= 3.8 Msun; references Orosz1996;Shahbaz1997;Gelino2001a;Gelino2001;Casares1997. Conservative dynamical inclusion.,https://arxiv.org/abs/1510.08869,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader dynamical-catalogue discovery outside the Phase-I roster.,grs_1124_684,171.61104166666667,-68.67578611111112,CDS J/A+A/587/A61 Table A.1,True,False,0
GRS 1915+105,GRS 1915+105|GRS1915+105|GRS1915p105|GRS_1915p105,BH,Dynamical mass from donor spectroscopy; independent position in existing CDS BlackCAT Table A.1; new validation source outside reference subset.,https://arxiv.org/abs/1304.1808,10002004001|10102003002|30102037002|30102037004|30202033002|30202033004|30302018002|30302018004|30302020002|30302020004|30302020006|30302020008|30502008002|30502008004|30502008006|30602008002|30602008004|30802017004|31101004002|80401312002|90001001002|90201053002|90202045002|90202045004|90301001002|90501321002|90501346002|90701323002|90701332002,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,grs_1915_105,288.798125,10.945777777777778,https://arxiv.org/abs/1304.1808,True,False,29
GS 1354-64,GS1354-64|GS 1354-64|GS_1354-644|X1354-644|BW Cir|GS_1354m64,BH,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.,https://arxiv.org/abs/1510.08869,91201302003|91202311002|91202311006|91202311014,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,gs_1354_64,209.54041666666663,-64.73494444444445,https://arxiv.org/abs/1510.08869,True,False,4
GS 2000+251,GS 2000+251|QZ Vul,BH,BlackCAT Table A.4 dynamical evidence; M1= 5.5 Msun; references Charles1991;Casares1995a;Harlaftis1996;Ioannou2004. Conservative dynamical inclusion.,https://arxiv.org/abs/1510.08869,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader dynamical-catalogue discovery outside the Phase-I roster.,gs_2000_251,300.7061666666667,25.23648888888889,CDS J/A+A/587/A61 Table A.1,True,False,0
GX 339-4,GX339-4|GX 339-4|1H 1659-487|GX339_4|GX339m4|GX_339m4,BH,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,80001013002|80001013004|80001013006|80001013007|80001013008|80001013010|80001015003|80102011002|80102011003|80102011004|80102011006|80102011008|80102011010|80102011012|80302304002|80302304004|80302304005|80302304007|80502325002|80502325004|80502325006|80502325008|80601302004|80601302006|80802320002|81160302004|81160302006|90401369002|90502356004,VERIFIED_PHASE1_PRODUCTS,True,VERIFIED_NAME_POSITION,PUBLIC_CANDIDATE_REDUCTION_REQUIRED,Inherited secure evidence; NuSTAR identity independently audited.,gx_339_4,255.70583333333337,-48.789833333333334,https://arxiv.org/abs/1510.08869,True,False,29
H 1705-250,H 1705-250|N.  Oph 77,BH,BlackCAT Table A.4 dynamical evidence; M1= 4.9 Msun; references Remillard1996;Filippenko1997;Harlaftis1997;Martin1995. Conservative dynamical inclusion.,https://arxiv.org/abs/1510.08869,,NOT_AUDITED,False,NO_VERIFIED_PUBLIC_POINTING,NOT_IN_INITIAL_PROCESSING_CENSUS,Broader dynamical-catalogue discovery outside the Phase-I roster.,h_1705_250,257.06466666666665,-25.091708333333333,CDS J/A+A/587/A61 Table A.1,True,False,0
