source_id,source_name,compact_object_class,label_reference,label_status,notes
xte_j1118_480,XTE J1118+480,BH,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
igr_j00291_5934,IGR J00291+5934,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BPT, 0 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1728_34,4U 1728-34,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABORC, 1173 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1808_4_3658,SAX J1808.4-3658,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BOPRT, 12 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1608_522,4U 1608-522,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABOST, 145 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1543_475,4U 1543-475,BH,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
slx_1735_269,SLX 1735-269,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BSC, 23 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
cyg_x_2,Cyg X-2,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BZR, 70 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
v4641_sgr,V4641 Sgr,BH,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
4u_1746_37,4U 1746-37,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABDG, 37 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
gx_339_4,GX 339-4,BH,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
xte_j1550_564,XTE J1550-564,BH,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
aql_x_1,Aql X-1,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABDIORT, 96 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1806_5_2215,SAX J1806.5-2215,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type TB, 9 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
xte_j1859_226,XTE J1859+226,BH,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
4u_0614_09,4U 0614+09,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABRSC, 2 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1810_8_2609,SAX J1810.8-2609,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type TBO, 16 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
hete_j1900_1_2455,HETE J1900.1-2455,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BOIT, 10 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1705_44,4U 1705-44,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BAR, 267 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
mxb_1658_298,MXB 1658-298,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BDEOT, 27 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
1a_1744_361,1A 1744-361,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type TA?BDR, 4 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
sax_j1750_8_2900,SAX J1750.8-2900,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type A?BOT, 24 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
ks_1731_260,KS 1731-260,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BOST, 366 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1636_536,4U 1636-536,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABOS, 664 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1254_69,4U 1254-69,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BDS, 34 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
gs_1354_64,GS 1354-64,BH,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv.
ser_x_1,Ser X-1,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BARS, 55 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1702_429,4U 1702-429,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABO, 284 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1735_444,4U 1735-444,NS,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABR?S, 71 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
