observation_id,rxte_obsid,source_id,canonical_source,raw_source_name,class_label,observation_time,usable,exclusion_reason,instrument,data_product,spectrum_path_or_reference,error_path_or_reference,energy_grid_id,feature_record_id,provenance_record_id
00013-05-01-00,00013-05-01-00,cyg_x_2,Cyg X-2,CYG_X-2,NS,,False,Missing retrieved source product,RXTE/PCA,,,,,,
10093-01-01-01,10093-01-01-01,4u_1608_522,4U 1608-522,4U_1608-522,NS,1996-03-15T19:28:16,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/10093-01-01-01.npz,data/processed/native/10093-01-01-01.npz,2b1a4d42c88ddc69243eda93a56a3ef6450cf867f748ebfc28244795b93cf70f,10093-01-01-01,10093-01-01-01
10095-01-01-00,10095-01-01-00,4u_0614_09,4U 0614+09,4U0614+091,NS,1996-04-22T19:19:28,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/10095-01-01-00.npz,data/processed/native/10095-01-01-00.npz,206be9b73c643bfce9e81126c20e590e878559b17ffe2e462a60eb58cd11edd8,10095-01-01-00,10095-01-01-00
10410-01-01-00,10410-01-01-00,4u_1728_34,4U 1728-34,4U1728-34,NS,1996-05-03T13:58:08,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/10410-01-01-00.npz,data/processed/native/10410-01-01-00.npz,50008731cce7697a0a2694f8062654f69a13f5bed802b67486c79681bff8f1f8,10410-01-01-00,10410-01-01-00
10416-01-01-00,10416-01-01-00,ks_1731_260,KS 1731-260,KS1731-260,NS,1996-07-14T02:27:12,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/10416-01-01-00.npz,data/processed/native/10416-01-01-00.npz,d33fc9eeb85897b3d7828d69728a6392f65e823b67cd03c0cd59497781c67cda,10416-01-01-00,10416-01-01-00
10416-01-03-00,10416-01-03-00,ks_1731_260,KS 1731-260,KS1731-260,NS,1996-08-31T17:39:44,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/10416-01-03-00.npz,data/processed/native/10416-01-03-00.npz,153a69f33a0ea57a994a92c5c332a466959dcb1404d81893acb993a94c547da5,10416-01-03-00,10416-01-03-00
10420-01-01-00,10420-01-01-00,gx_339_4,GX 339-4,GX339-4,BH,1996-07-26T18:20:32,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/10420-01-01-00.npz,data/processed/native/10420-01-01-00.npz,822861d489eac2cd21f7ebd6dac5ea7e40f1fada335f8822b772c8b785b1ed6d,10420-01-01-00,10420-01-01-00
20053-04-01-01,20053-04-01-01,cyg_x_2,Cyg X-2,CYG_X-2,NS,1997-07-01T14:00:48,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20053-04-01-01.npz,data/processed/native/20053-04-01-01.npz,6c02fb94c2ab8c2248b117e358c0198510a14d0ea4492ae4d67d84bd7fcfb528,20053-04-01-01,20053-04-01-01
20084-01-01-00,20084-01-01-00,4u_1735_444,4U 1735-444,4U_1735-44,NS,1997-08-01T13:24:32,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20084-01-01-00.npz,data/processed/native/20084-01-01-00.npz,0a8d8222f78a42900fdd103778f592c96967263c71711d631455c9b62dba2236,20084-01-01-00,20084-01-01-00
20084-01-02-03,20084-01-02-03,4u_1735_444,4U 1735-444,4U_1735-44,NS,1997-09-01T08:53:20,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20084-01-02-03.npz,data/processed/native/20084-01-02-03.npz,b39fbc440fa6e6c4664f3676eaab7f3d4870149d48656e773be3c9c0408ae4e7,20084-01-02-03,20084-01-02-03
20084-02-01-00,20084-02-01-00,4u_1702_429,4U 1702-429,4U_1702-429,NS,1997-07-19T16:44:32,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20084-02-01-00.npz,data/processed/native/20084-02-01-00.npz,7af003d30e5a0006d68fcfade1ccbc279683131d7c7c6c391a582fc4baf00959,20084-02-01-00,20084-02-01-00
20084-02-01-03,20084-02-01-03,4u_1702_429,4U 1702-429,4U_1702-429,NS,1997-07-26T04:13:36,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20084-02-01-03.npz,data/processed/native/20084-02-01-03.npz,97ea569ce8d70f65f0e1a328eec54958d55336d0b99e8da58cbe113912f27360,20084-02-01-03,20084-02-01-03
20084-02-02-01,20084-02-02-01,4u_1702_429,4U 1702-429,4U_1702-429,NS,1997-07-26T20:04:16,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20084-02-02-01.npz,data/processed/native/20084-02-02-01.npz,97ea569ce8d70f65f0e1a328eec54958d55336d0b99e8da58cbe113912f27360,20084-02-02-01,20084-02-02-01
20085-01-01-02,20085-01-01-02,ks_1731_260,KS 1731-260,KS1731-260,NS,,False,Selected PCUs not continuously on in sampled GTIs; re-extraction required,RXTE/PCA,,,,,,
20089-02-01-00,20089-02-01-00,slx_1735_269,SLX 1735-269,SLX1735-269,NS,1997-10-10T04:36:48,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20089-02-01-00.npz,data/processed/native/20089-02-01-00.npz,edd54ab4ef7f270700e553616edf907d2e87e836851776be88796581ca4a682c,20089-02-01-00,20089-02-01-00
20092-01-02-02,20092-01-02-02,aql_x_1,Aql X-1,AQL_X-1,NS,1997-08-16T07:46:24,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20092-01-02-02.npz,data/processed/native/20092-01-02-02.npz,712287b664abb520f35198e5e16390a263a76c6f9f0875621f80d4559dfc49cf,20092-01-02-02,20092-01-02-02
20092-01-04-00,20092-01-04-00,aql_x_1,Aql X-1,AQL_X-1,NS,1997-09-01T04:34:24,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20092-01-04-00.npz,data/processed/native/20092-01-04-00.npz,b39fbc440fa6e6c4664f3676eaab7f3d4870149d48656e773be3c9c0408ae4e7,20092-01-04-00,20092-01-04-00
20098-03-01-00,20098-03-01-00,aql_x_1,Aql X-1,AQL_X-1,NS,1997-02-16T22:59:12,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20098-03-01-00.npz,data/processed/native/20098-03-01-00.npz,cf0de99acffb52f1a31e1643b9ed7edc5cfbac3aba7cad749987c78838c4e85a,20098-03-01-00,20098-03-01-00
20170-03-01-00,20170-03-01-00,slx_1735_269,SLX 1735-269,SLX_1735-269,NS,1997-02-25T02:32:16,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20170-03-01-00.npz,data/processed/native/20170-03-01-00.npz,de32880a916a779502cae4cb0630047ed4bb515f207e5551c3f153f2937d75dd,20170-03-01-00,20170-03-01-00
20170-03-03-00,20170-03-03-00,slx_1735_269,SLX 1735-269,SLX_1735-269,NS,1997-03-20T13:26:56,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20170-03-03-00.npz,data/processed/native/20170-03-03-00.npz,26f1578c531ff7c8b905e82ffe53c973742fe8d0d68c17c306c86b11b57c2652,20170-03-03-00,20170-03-03-00
20170-03-06-00,20170-03-06-00,slx_1735_269,SLX 1735-269,SLX_1735-269,NS,1997-03-25T16:57:36,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20170-03-06-00.npz,data/processed/native/20170-03-06-00.npz,83a134423ce643aa3cea8c6db0044788d503ab227b0f7f196993acdc6b4c740b,20170-03-06-00,20170-03-06-00
20170-03-08-00,20170-03-08-00,slx_1735_269,SLX 1735-269,SLX_1735-269,NS,1997-04-20T22:21:04,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20170-03-08-00.npz,data/processed/native/20170-03-08-00.npz,51340431f6c950fa5f0707e0cf240f584831b865c4b07624b3f8b5105c674574,20170-03-08-00,20170-03-08-00
20170-03-11-00,20170-03-11-00,slx_1735_269,SLX 1735-269,SLX_1735-269,NS,1997-05-18T03:38:40,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20170-03-11-00.npz,data/processed/native/20170-03-11-00.npz,536dfb794014c1b005512bf9bc89136b2b72c17d6788efeed5b6aad12b6b17f5,20170-03-11-00,20170-03-11-00
20428-01-01-03,20428-01-01-03,4u_0614_09,4U 0614+09,4U_0614+091,NS,1997-09-06T21:07:12,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20428-01-01-03.npz,data/processed/native/20428-01-01-03.npz,a5759e92ddc814e1d347ff47dda4b9c56f3ea7d7c447fed6d0025027b2004aaa,20428-01-01-03,20428-01-01-03
20431-01-01-00,20431-01-01-00,gs_1354_64,GS 1354-64,X1354-644,BH,,False,Missing retrieved source product,RXTE/PCA,,,,,,
20431-01-02-00,20431-01-02-00,gs_1354_64,GS 1354-64,X1354-644,BH,,False,Missing retrieved source product,RXTE/PCA,,,,,,
20431-01-02-03,20431-01-02-03,gs_1354_64,GS 1354-64,X1354-644,BH,,False,Missing retrieved source product,RXTE/PCA,,,,,,
20431-01-03-00,20431-01-03-00,gs_1354_64,GS 1354-64,X1354-644,BH,1997-11-22T09:39:28,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20431-01-03-00.npz,data/processed/native/20431-01-03-00.npz,8b17aa7073053b1e609f0a72b5ded6c6fb7462b0feaee55a5ea40c209e1620bf,20431-01-03-00,20431-01-03-00
20431-01-04-00,20431-01-04-00,gs_1354_64,GS 1354-64,X1354-644,BH,1997-12-05T05:00:48,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20431-01-04-00.npz,data/processed/native/20431-01-04-00.npz,09ab726310b5604f57436c96a0096ea924810c33c300b3aec2b0a7eb6876158f,20431-01-04-00,20431-01-04-00
20431-01-05-00,20431-01-05-00,gs_1354_64,GS 1354-64,X1354-644,BH,1997-12-12T19:21:20,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/20431-01-05-00.npz,data/processed/native/20431-01-05-00.npz,865c863b0f8ce4c24cee0e9788609d7b83e6d9fab2180c8528e4364634fabd77,20431-01-05-00,20431-01-05-00
30042-03-02-00,30042-03-02-00,4u_1728_34,4U 1728-34,4U_1728-34,NS,1998-10-07T05:05:20,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30042-03-02-00.npz,data/processed/native/30042-03-02-00.npz,4586a87f1ef4f418847c428c915815e1f5628d099934e40868ac0638ee2428fc,30042-03-02-00,30042-03-02-00
30042-03-08-00,30042-03-08-00,4u_1728_34,4U 1728-34,4U_1728-34,NS,1998-11-05T04:00:16,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30042-03-08-00.npz,data/processed/native/30042-03-08-00.npz,d5348577da3f024cc6d0c6a99f9f37ed96ef7630ca975fc03e1821b041c196d8,30042-03-08-00,30042-03-08-00
30042-03-17-00,30042-03-17-00,4u_1728_34,4U 1728-34,4U_1728-34,NS,1998-11-17T13:02:40,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30042-03-17-00.npz,data/processed/native/30042-03-17-00.npz,2ccebcb75eba713ac066c83ae3a655ba8f435e17b17832fe457025a82b26d57a,30042-03-17-00,30042-03-17-00
30046-01-03-00,30046-01-03-00,cyg_x_2,Cyg X-2,CYG_X-2,NS,1998-07-28T15:27:12,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30046-01-03-00.npz,data/processed/native/30046-01-03-00.npz,bea6bfe1f28ad8fcc4cc5ffcb536386a194da6233276144b65a16037dfe113e0,30046-01-03-00,30046-01-03-00
30053-02-01-00,30053-02-01-00,4u_1636_536,4U 1636-536,4U_1636-536,NS,1998-02-25T13:15:28,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30053-02-01-00.npz,data/processed/native/30053-02-01-00.npz,fdebdec43f6b20d3ba48c49de73bb169bbbf6f61b4b42fe7ab15e0bc3006fd2c,30053-02-01-00,30053-02-01-00
30054-01-02-03,30054-01-02-03,4u_0614_09,4U 0614+09,4U_0614+091,NS,1998-05-26T02:22:56,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30054-01-02-03.npz,data/processed/native/30054-01-02-03.npz,59d5a7b5886b3c092792449e7d1da9390e0ee66105a57ef2af8b5c17dfe8514b,30054-01-02-03,30054-01-02-03
30061-01-01-00,30061-01-01-00,ks_1731_260,KS 1731-260,KS_1731-260,NS,1998-07-31T11:21:52,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-01-00.npz,data/processed/native/30061-01-01-00.npz,e5ca27655c96ab4a3d88a22e17db35b4d064322400178e365ab5cb336d647888,30061-01-01-00,30061-01-01-00
30061-01-01-02,30061-01-01-02,ks_1731_260,KS 1731-260,KS_1731-260,NS,1998-08-01T14:43:28,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-01-02.npz,data/processed/native/30061-01-01-02.npz,6dddf0f5e77c9976a34bedcbf59d6c58feb66a10f60a659cc7b1bf28daee462f,30061-01-01-02,30061-01-01-02
30061-01-01-04,30061-01-01-04,ks_1731_260,KS 1731-260,KS_1731-260,NS,1998-08-02T08:27:28,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-01-04.npz,data/processed/native/30061-01-01-04.npz,4fb2652739608249419f0d3728369a9f6880ebcae3b1e176841bb765cdc7fe60,30061-01-01-04,30061-01-01-04
30061-01-02-01,30061-01-02-01,ks_1731_260,KS 1731-260,KS_1731-260,NS,1998-10-02T13:06:08,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-02-01.npz,data/processed/native/30061-01-02-01.npz,0a076c7a15245d6bbd3aca3dc57cd35c4b3dc667bc781e92ebd9e559df06c3fc,30061-01-02-01,30061-01-02-01
30061-01-02-03,30061-01-02-03,ks_1731_260,KS 1731-260,KS_1731-260,NS,1998-10-03T05:46:24,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-02-03.npz,data/processed/native/30061-01-02-03.npz,11146066f9cec7b4c07eb707799a50b9595ed21240b8f33aa47049311840ba9c,30061-01-02-03,30061-01-02-03
30061-01-02-06,30061-01-02-06,ks_1731_260,KS 1731-260,KS_1731-260,NS,1998-10-06T01:53:52,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-02-06.npz,data/processed/native/30061-01-02-06.npz,d32b90f9c752699833c156e86b00ebce50c4f0b79acc90242538390a800cdf85,30061-01-02-06,30061-01-02-06
30061-01-03-00,30061-01-03-00,ks_1731_260,KS 1731-260,KS_1731-260,NS,1999-02-22T18:26:24,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-03-00.npz,data/processed/native/30061-01-03-00.npz,229c29b452b6d7e476a6eae3de9b01fb5faf2704be676b149539aefa03303139,30061-01-03-00,30061-01-03-00
30061-01-03-01,30061-01-03-01,ks_1731_260,KS 1731-260,KS_1731-260,NS,1999-02-25T21:39:28,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-03-01.npz,data/processed/native/30061-01-03-01.npz,e0720bd036b54d77300a694e67a9f657760ff6d16f6570d4eb99693b7b07f60a,30061-01-03-01,30061-01-03-01
30061-01-04-00,30061-01-04-00,ks_1731_260,KS 1731-260,KS_1731-260,NS,1999-02-26T15:13:04,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-04-00.npz,data/processed/native/30061-01-04-00.npz,b027a0c6c66260927d2ad0e939e603368ad620f86f9d046d09dde27101e0df39,30061-01-04-00,30061-01-04-00
30061-01-04-02,30061-01-04-02,ks_1731_260,KS 1731-260,KS_1731-260,NS,1999-02-27T15:13:04,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30061-01-04-02.npz,data/processed/native/30061-01-04-02.npz,c149121207fbf90a14647aa3bc87701083538eef760f3b62cff6972ab7f17314,30061-01-04-02,30061-01-04-02
30062-02-01-05,30062-02-01-05,4u_1608_522,4U 1608-522,4U_1608-52,NS,1998-02-20T06:05:20,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30062-02-01-05.npz,data/processed/native/30062-02-01-05.npz,f0bd449cd1ccc238cb2852474396755b713e61c531f9377204e2d2d89d9950d3,30062-02-01-05,30062-02-01-05
30073-05-01-00,30073-05-01-00,aql_x_1,Aql X-1,AQL_X-1,NS,1998-04-10T22:20:48,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30073-05-01-00.npz,data/processed/native/30073-05-01-00.npz,27a210f922304e8bedff2ee9298a9106f3fafc6da666356ce7fc511b2dac39e8,30073-05-01-00,30073-05-01-00
30188-03-02-00,30188-03-02-00,aql_x_1,Aql X-1,AQL_X-1,NS,1998-03-07T08:14:24,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30188-03-02-00.npz,data/processed/native/30188-03-02-00.npz,491cf476bcad539b075c79622cc2cf6d463d9710863c4db1e8eab4c2412ed28b,30188-03-02-00,30188-03-02-00
30188-06-01-02,30188-06-01-02,xte_j1550_564,XTE J1550-564,XTE_J1550-564,BH,1998-09-10T01:37:20,True,,RXTE/PCA,PCA_OGIP_RATE43_OVERLAP_V1,data/processed/native/30188-06-01-02.npz,data/processed/native/30188-06-01-02.npz,a23beecebaa2d6deadf543a76cbe5d0ec10b43d5908dd0ca424c40523eb10a6b,30188-06-01-02,30188-06-01-02
