rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes
50137-01-01-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50137,5,51632.96003,1540.0,537.0,AO5/P50137/50137-01-01-00,explicit_designation_and_independent_catalog_position,high,0.021330176171093836,169.57,48.05,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50137-01-02-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50137,5,51634.61019,2221.0,936.0,AO5/P50137/50137-01-02-00,explicit_designation_and_independent_catalog_position,high,0.021330176171093836,169.57,48.05,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50137-01-03-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50137,5,51636.27777,10133.0,5880.0,AO5/P50137/50137-01-03-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50137-01-04-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50137,5,51637.34073,2334.0,1958.0,AO5/P50137/50137-01-04-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50137-01-05-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50137,5,51638.82735,2295.0,1929.0,AO5/P50137/50137-01-05-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50133-01-01-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50133,5,51642.54547,4606.0,2820.0,AO5/P50133/50133-01-01-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-01-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51647.39907,16003.0,13838.0,AO5/P50407/50407-01-01-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-01-01,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51647.59749,5536.0,4089.0,AO5/P50407/50407-01-01-01,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50137-01-06-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50137,5,51649.03826,7275.0,3405.0,AO5/P50137/50137-01-06-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
50407-01-02-00,xte_j1118_480,XTE J1118+480,XTE_J1118+480,BH,BH,50407,5,51649.32872,1935.0,1152.0,AO5/P50407/50407-01-02-00,explicit_designation_and_independent_catalog_position,high,8.78672655478551e-05,169.545,48.0367,archived,ACCEPTED_CANDIDATE,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/provenance/reconstruction/query_xte_j1118_480.json,
