alias,source_id,alias_reference,status,notes
4U 1907+097,4u_1907_09,intzand2002,verified,Same 441-s pulsar linked to Baykal et al.; separate from XTE J1908+094
H 1907+097,4u_1907_09,fermi_pulsars,verified,Explicit NASA alias listing
SAX J1819.3-2525,v4641_sgr,orosz2001,verified,Explicit source equivalence in primary paper
XTEJ1118+480,xte_j1118_480,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
XTE J1118+480,xte_j1118_480,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
IGRJ00291+5934,igr_j00291_5934,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
IGR J00291+5934,igr_j00291_5934,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
IGRJ17379-3747,igr_j17379_3747,https://arxiv.org/abs/1807.08574v2,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1728-34,4u_1728_34,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1728-34,4u_1728_34,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAXJ1808.4-3658,sax_j1808_4_3658,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAX J1808.4-3658,sax_j1808_4_3658,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1608-52,4u_1608_522,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1608-522,4u_1608_522,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1543-47,4u_1543_475,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1543-475,4u_1543_475,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SLX1735-269,slx_1735_269,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SLX 1735-269,slx_1735_269,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
CYGX-2,cyg_x_2,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
Cyg X-2,cyg_x_2,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAXJ1819.3-2525,v4641_sgr,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
V4641 Sgr,v4641_sgr,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U1746-371,4u_1746_37,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 1746-37,4u_1746_37,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
GX339-4,gx_339_4,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
GX 339-4,gx_339_4,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
1H 1659-487,gx_339_4,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
XTEJ1550-564,xte_j1550_564,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
XTE J1550-564,xte_j1550_564,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
AQLX1,aql_x_1,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
Aql X-1,aql_x_1,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAXJ1806.5-2215,sax_j1806_5_2215,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAX J1806.5-2215,sax_j1806_5_2215,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
XTEJ1859+226,xte_j1859_226,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
XTE J1859+226,xte_j1859_226,https://arxiv.org/abs/1510.08869,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U0614+091,4u_0614_09,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
4U 0614+09,4u_0614_09,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAXJ1810.8-2609,sax_j1810_8_2609,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
SAX J1810.8-2609,sax_j1810_8_2609,https://burst.sci.monash.edu/sources,verified,Explicit reconstructed-roster designation; archive matches also require independent position.
