source_id,source_name,compact_object_class,n_observations,label_reference,label_status,notes
1a_1744_361,1A 1744-361,NS,27,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type TA?BDR, 4 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed. Archive designation reviewed against primary literature and independent catalog position; see reconstruction/alias_evidence.csv."
4u_0614_09,4U 0614+09,NS,31,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABRSC, 2 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1254_69,4U 1254-69,NS,11,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BDS, 34 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1543_475,4U 1543-475,BH,16,https://arxiv.org/abs/1510.08869,verified,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
4u_1608_522,4U 1608-522,NS,27,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABOST, 145 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1636_536,4U 1636-536,NS,31,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABOS, 664 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1702_429,4U 1702-429,NS,30,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABO, 284 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1705_44,4U 1705-44,NS,32,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type BAR, 267 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1728_34,4U 1728-34,NS,32,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABORC, 1173 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1735_444,4U 1735-444,NS,31,https://burst.sci.monash.edu/sources,verified,"MINBAR source catalog: type ABR?S, 71 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
