rxte_obsid,native_channels_used,minimum_keV,maximum_keV,native_grid_id,native_array_path,gain_epoch,calibration_identifier,response_identifier,transformation,output_bins,output_minimum_keV,output_maximum_keV
10093-01-01-01,56,4.836093902587891,25.45636749267578,2b1a4d42c88ddc69243eda93a56a3ef6450cf867f748ebfc28244795b93cf70f,data/processed/native/10093-01-01-01.npz,response_specific_EBOUNDS,cc2a8107956a38521f900dcc2fb2cf6c6ad4ded49b29950df48c27c0f48133d1,xp10093010101.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
10095-01-01-00,48,4.674112796783447,25.0939884185791,206be9b73c643bfce9e81126c20e590e878559b17ffe2e462a60eb58cd11edd8,data/processed/native/10095-01-01-00.npz,response_specific_EBOUNDS,c377440e0377a1d4f24182fc4e6768a8b019f47f6ee76c5c91c1cad10f8036d8,xp10095010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
10410-01-01-00,48,4.673550128936768,25.090473175048828,50008731cce7697a0a2694f8062654f69a13f5bed802b67486c79681bff8f1f8,data/processed/native/10410-01-01-00.npz,response_specific_EBOUNDS,dd96f626dd7175c2c91bb2426ef75291e018db47f1da1e721b7e6367a5025623,xp10410010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
10416-01-01-00,48,4.669870853424072,25.067489624023438,d33fc9eeb85897b3d7828d69728a6392f65e823b67cd03c0cd59497781c67cda,data/processed/native/10416-01-01-00.npz,response_specific_EBOUNDS,def4cb97109f2c1802530963e88bb6225a4de4de479e49803434015f0e4f0f24,xp10416010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
10416-01-03-00,48,4.667421340942383,25.05219078063965,153a69f33a0ea57a994a92c5c332a466959dcb1404d81893acb993a94c547da5,data/processed/native/10416-01-03-00.npz,response_specific_EBOUNDS,a5271bc5f37abae766f1e05804763eef9a6f8ed131419e84f7d28531f2f686c7,xp10416010300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
10420-01-01-00,48,4.669258117675781,25.063663482666016,822861d489eac2cd21f7ebd6dac5ea7e40f1fada335f8822b772c8b785b1ed6d,data/processed/native/10420-01-01-00.npz,response_specific_EBOUNDS,20271eae61112865140d1a4230d87db4a8869ece67435f8dc6704f2d45bdfc59,xp10420010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20053-04-01-01,49,4.651976585388184,25.711231231689453,6c02fb94c2ab8c2248b117e358c0198510a14d0ea4492ae4d67d84bd7fcfb528,data/processed/native/20053-04-01-01.npz,response_specific_EBOUNDS,3d6809cd1bf4c16c3bdad393fe752de999b41603dbbb4f4dab45ca650290ea78,xp20053040101.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20084-01-01-00,49,4.6504082679748535,25.70112419128418,0a8d8222f78a42900fdd103778f592c96967263c71711d631455c9b62dba2236,data/processed/native/20084-01-01-00.npz,response_specific_EBOUNDS,557e17e2cbf9392f574264dc033eb5a46f28ce60a2f59a7aa482b01570e01558,xp20084010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20084-01-02-03,49,4.64884090423584,25.69102668762207,b39fbc440fa6e6c4664f3676eaab7f3d4870149d48656e773be3c9c0408ae4e7,data/processed/native/20084-01-02-03.npz,response_specific_EBOUNDS,798cd5532dc547cbd88ff36c5ec0d7ae5abc06cb301e1b9b2b40e529112154c2,xp20084010203.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20084-02-01-00,49,4.651065826416016,25.70536231994629,7af003d30e5a0006d68fcfade1ccbc279683131d7c7c6c391a582fc4baf00959,data/processed/native/20084-02-01-00.npz,response_specific_EBOUNDS,d27fbd1809195fd1e063e60481cf655255ff27851fbdcc03a2672bd1c5f74fb9,xp20084020100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20084-02-01-03,49,4.650711536407471,25.703079223632812,97ea569ce8d70f65f0e1a328eec54958d55336d0b99e8da58cbe113912f27360,data/processed/native/20084-02-01-03.npz,response_specific_EBOUNDS,ab0b4c1298df849dc4fc4b49b463eefa3b256579b88eab4345aa7e7b83c50d50,xp20084020103.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20084-02-02-01,49,4.650711536407471,25.703079223632812,97ea569ce8d70f65f0e1a328eec54958d55336d0b99e8da58cbe113912f27360,data/processed/native/20084-02-02-01.npz,response_specific_EBOUNDS,104ddb378c4db998ad4a1d58aeeb5a2421d81b35ff10bc8de18f61a236cfbe7d,xp20084020201.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20089-02-01-00,49,4.646871089935303,25.678333282470703,edd54ab4ef7f270700e553616edf907d2e87e836851776be88796581ca4a682c,data/processed/native/20089-02-01-00.npz,response_specific_EBOUNDS,86e77793e863d1e70af6c66427ef541c0697f154a4332019e186139040aeeb61,xp20089020100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20092-01-02-02,49,4.649649620056152,25.696237564086914,712287b664abb520f35198e5e16390a263a76c6f9f0875621f80d4559dfc49cf,data/processed/native/20092-01-02-02.npz,response_specific_EBOUNDS,0a0d37405080d5c58f5c6718e942a9c8c7218ce786d9931a0af38ecf3f89fb5f,xp20092010202.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20092-01-04-00,49,4.64884090423584,25.69102668762207,b39fbc440fa6e6c4664f3676eaab7f3d4870149d48656e773be3c9c0408ae4e7,data/processed/native/20092-01-04-00.npz,response_specific_EBOUNDS,7fcaa946cb734ef4f95e75d67e8cca5d14735537367ef949d189c74decc48923,xp20092010400.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20098-03-01-00,49,4.658821105957031,25.75534439086914,cf0de99acffb52f1a31e1643b9ed7edc5cfbac3aba7cad749987c78838c4e85a,data/processed/native/20098-03-01-00.npz,response_specific_EBOUNDS,92050a0cf976596606a582b0ba966865ee359bb95ca631a48c72e8b0d562b1c0,xp20098030100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20170-03-01-00,49,4.6583638191223145,25.752397537231445,de32880a916a779502cae4cb0630047ed4bb515f207e5551c3f153f2937d75dd,data/processed/native/20170-03-01-00.npz,response_specific_EBOUNDS,ded22d83e279bea3e5726e19bcdd3ccb060ab5f4b50ea7f16281b8980a3b58b1,xp20170030100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20170-03-03-00,49,4.657196521759033,25.744873046875,26f1578c531ff7c8b905e82ffe53c973742fe8d0d68c17c306c86b11b57c2652,data/processed/native/20170-03-03-00.npz,response_specific_EBOUNDS,e48917cab1250b106d11729f56195a2d5ad95af4aaa6ac3d62e7a5c1d6dffa2c,xp20170030300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20170-03-06-00,49,4.656942844390869,25.74323844909668,83a134423ce643aa3cea8c6db0044788d503ab227b0f7f196993acdc6b4c740b,data/processed/native/20170-03-06-00.npz,response_specific_EBOUNDS,fc348a66da77e8ea3963f597ba7a349941aeaa08aef01b6e8b0bcfaf6b294b17,xp20170030600.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20170-03-08-00,49,4.6556243896484375,25.734739303588867,51340431f6c950fa5f0707e0cf240f584831b865c4b07624b3f8b5105c674574,data/processed/native/20170-03-08-00.npz,response_specific_EBOUNDS,a721388e8dd8e549a03d5f99a5b982cbc71ec34ed010209773d843576d76c94a,xp20170030800.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20170-03-11-00,49,4.654204845428467,25.725589752197266,536dfb794014c1b005512bf9bc89136b2b72c17d6788efeed5b6aad12b6b17f5,data/processed/native/20170-03-11-00.npz,response_specific_EBOUNDS,90e45378de3be79fdb2c8e1bcabef2ba98d91171d0a2d5e4f3259b1ae7f0cff5,xp20170031100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20428-01-01-03,49,4.64858865737915,25.68939781188965,a5759e92ddc814e1d347ff47dda4b9c56f3ea7d7c447fed6d0025027b2004aaa,data/processed/native/20428-01-01-03.npz,response_specific_EBOUNDS,651fa38f39f22ceb1b5c5ffe4f3b4ee35b9746c9f27e95176b2b9e570a7f36ab,xp20428010103.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20431-01-03-00,49,4.64470100402832,25.664352416992188,8b17aa7073053b1e609f0a72b5ded6c6fb7462b0feaee55a5ea40c209e1620bf,data/processed/native/20431-01-03-00.npz,response_specific_EBOUNDS,7a9d35ae2a04d1a672fb9ee94203477b9f720825916745c8679eb8508425a82e,xp20431010300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20431-01-04-00,49,4.644045352935791,25.660127639770508,09ab726310b5604f57436c96a0096ea924810c33c300b3aec2b0a7eb6876158f,data/processed/native/20431-01-04-00.npz,response_specific_EBOUNDS,09b0ec0789a3ca6df310229bfaa42d0cccd997e813df24ed7b9241ca6a074159,xp20431010400.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
20431-01-05-00,49,4.643692970275879,25.657855987548828,865c863b0f8ce4c24cee0e9788609d7b83e6d9fab2180c8528e4364634fabd77,data/processed/native/20431-01-05-00.npz,response_specific_EBOUNDS,b5bd3ec0380b606a2ee66d4110fb44e3c29eccbc8d095e8fb7182698a0133e1b,xp20431010500.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30042-03-02-00,48,4.986344814300537,25.56113624572754,4586a87f1ef4f418847c428c915815e1f5628d099934e40868ac0638ee2428fc,data/processed/native/30042-03-02-00.npz,response_specific_EBOUNDS,a38260e8c1c716badfeb44fdb272a0991eb9c84f69c3e05bddf3926d0531f9fb,xp30042030200.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30042-03-08-00,48,4.984765529632568,25.551795959472656,d5348577da3f024cc6d0c6a99f9f37ed96ef7630ca975fc03e1821b041c196d8,data/processed/native/30042-03-08-00.npz,response_specific_EBOUNDS,9ccf9cb9d55ab1e39092b54956c8f657b68f173a5408111c16e1ffec58c08e35,xp30042030800.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30042-03-17-00,48,4.98411226272583,25.54793357849121,2ccebcb75eba713ac066c83ae3a655ba8f435e17b17832fe457025a82b26d57a,data/processed/native/30042-03-17-00.npz,response_specific_EBOUNDS,809a2ab5e9c8a10d8795877fea171a11415155dee0b10c3255f88323f41f290b,xp30042031700.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30046-01-03-00,48,4.990216255187988,25.584033966064453,bea6bfe1f28ad8fcc4cc5ffcb536386a194da6233276144b65a16037dfe113e0,data/processed/native/30046-01-03-00.npz,response_specific_EBOUNDS,7005dfdb655a5a356cf7a5a2dcd3071b3726314bc4b4f86eaeaa63603c290922,xp30046010300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30053-02-01-00,48,4.998582363128662,25.63352394104004,fdebdec43f6b20d3ba48c49de73bb169bbbf6f61b4b42fe7ab15e0bc3006fd2c,data/processed/native/30053-02-01-00.npz,response_specific_EBOUNDS,0051981c6f1a1e13f2581c1ccae838f927ecda2a741489e94d95182f9b228626,xp30053020100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30054-01-02-03,48,4.993657112121582,25.604387283325195,59d5a7b5886b3c092792449e7d1da9390e0ee66105a57ef2af8b5c17dfe8514b,data/processed/native/30054-01-02-03.npz,response_specific_EBOUNDS,06e7dc668b8ad17258b852ee8366406c3802a720912b64d2a116ae9a7995d072,xp30054010203.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-01-00,48,4.990052700042725,25.583065032958984,e5ca27655c96ab4a3d88a22e17db35b4d064322400178e365ab5cb336d647888,data/processed/native/30061-01-01-00.npz,response_specific_EBOUNDS,f2644430bf66224956c6b9aad1fec9856e35f826c8fd9acb387dfc6b9dafbbb3,xp30061010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-01-02,48,4.989997863769531,25.58274269104004,6dddf0f5e77c9976a34bedcbf59d6c58feb66a10f60a659cc7b1bf28daee462f,data/processed/native/30061-01-01-02.npz,response_specific_EBOUNDS,3870e8d7f9c22c2c825a9226e6bbf7caa21184bb9b752fbb13f17b302ad66570,xp30061010102.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-01-04,48,4.989943504333496,25.582420349121094,4fb2652739608249419f0d3728369a9f6880ebcae3b1e176841bb765cdc7fe60,data/processed/native/30061-01-01-04.npz,response_specific_EBOUNDS,a758609b0662458616e59e40b0ed1e21dcc66e86b8851f3528484214c17ac59e,xp30061010104.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-02-01,48,4.986617088317871,25.562747955322266,0a076c7a15245d6bbd3aca3dc57cd35c4b3dc667bc781e92ebd9e559df06c3fc,data/processed/native/30061-01-02-01.npz,response_specific_EBOUNDS,184ba1e3ec30db5059cc8942c55d5a6e3e1fa81e5b099ec957a429330dc20fea,xp30061010201.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-02-03,48,4.986562728881836,25.56242561340332,11146066f9cec7b4c07eb707799a50b9595ed21240b8f33aa47049311840ba9c,data/processed/native/30061-01-02-03.npz,response_specific_EBOUNDS,40f8f04ebf66b11f546a84f71ef85946c628eeba14dec53495f6ceed20e6b3cb,xp30061010203.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-02-06,48,4.986399173736572,25.56145668029785,d32b90f9c752699833c156e86b00ebce50c4f0b79acc90242538390a800cdf85,data/processed/native/30061-01-02-06.npz,response_specific_EBOUNDS,00d4080e41f929cf89c5a4d2bf60c9640331da6a0c44d2b7b46c3cfde1d15a21,xp30061010206.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-03-00,48,4.97883939743042,25.516752243041992,229c29b452b6d7e476a6eae3de9b01fb5faf2704be676b149539aefa03303139,data/processed/native/30061-01-03-00.npz,response_specific_EBOUNDS,afc76d2f7c555678b242716096f1808f51ea09a7f29ae44e23b4e7cabfe84d49,xp30061010300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-03-01,48,4.9786763191223145,25.515789031982422,e0720bd036b54d77300a694e67a9f657760ff6d16f6570d4eb99693b7b07f60a,data/processed/native/30061-01-03-01.npz,response_specific_EBOUNDS,e986d1027d5a81f4c5cf07fb2f3367344469375874a35600b4bd573c6da0ef21,xp30061010301.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-04-00,48,4.978621959686279,25.515466690063477,b027a0c6c66260927d2ad0e939e603368ad620f86f9d046d09dde27101e0df39,data/processed/native/30061-01-04-00.npz,response_specific_EBOUNDS,06588671231c976e1166cd6189a283fdc911dd719307f81e258000a2ec73cc74,xp30061010400.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30061-01-04-02,48,4.978568077087402,25.515148162841797,c149121207fbf90a14647aa3bc87701083538eef760f3b62cff6972ab7f17314,data/processed/native/30061-01-04-02.npz,response_specific_EBOUNDS,1143619b5cc05126ca7a19ae1546dd4d06ac544cba5a4a84a1a98a0f3361e1f0,xp30061010402.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30062-02-01-05,48,4.998856067657471,25.63514518737793,f0bd449cd1ccc238cb2852474396755b713e61c531f9377204e2d2d89d9950d3,data/processed/native/30062-02-01-05.npz,response_specific_EBOUNDS,8523d89dae9eda1a81866c25eab5be6b53ef092e807533fb72f1cc58ad9be778,xp30062020105.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30073-05-01-00,48,4.996172904968262,25.61927032470703,27a210f922304e8bedff2ee9298a9106f3fafc6da666356ce7fc511b2dac39e8,data/processed/native/30073-05-01-00.npz,response_specific_EBOUNDS,9ddda52c6542661666d3105df246be4f98be88a5f85985d7ebbcb330ea5abbd0,xp30073050100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30188-03-02-00,48,4.9980340003967285,25.630281448364258,491cf476bcad539b075c79622cc2cf6d463d9710863c4db1e8eab4c2412ed28b,data/processed/native/30188-03-02-00.npz,response_specific_EBOUNDS,53b1ad5f28636e7f042cd79830d8565c7129f7669a100c6cd0fddede295115d4,xp30188030200.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
30188-06-01-02,48,4.987816333770752,25.569839477539062,a23beecebaa2d6deadf543a76cbe5d0ec10b43d5908dd0ca424c40523eb10a6b,data/processed/native/30188-06-01-02.npz,response_specific_EBOUNDS,6882c2ce71c92fa9768dea90957ec6d41693bf7e4446256e5f9f73110d5a8d12,xp30188060102.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
