reference_id,source_id,reference_type,title,authors_or_provider,url_or_identifier,accessed_at,access_status,supports_observation_mapping,supports_classification,supports_alias,supports_spectrum,supports_errors,supports_pm_features,notes
garg2026,,primary_paper,Neuro-Parametric Spectral Classification of Black Hole and Neutron Star X-ray Binary Systems,Garg et al.,https://arxiv.org/html/2601.18139v1,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,true,true,true,Methods and correction claim; no numerical spectra/errors/PM table or corrected ObsID list supplied here.
pattnaik2021,,primary_paper,A machine-learning approach for classifying low-mass X-ray binaries based on their compact object nature,Pattnaik et al.,https://arxiv.org/html/2012.06934v1,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,true,false,false,"Methods, variable channel energy bounds, prior source-wise/LOSO tests; no exact observation mapping."
pattnaik2021_source,,primary_supplement,Author source archive and Method-3-Source-wise-Accuracy.csv,Pattnaik et al.; arXiv,https://export.arxiv.org/e-print/2012.06934v1,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,false,false,false,"Published roster/counts/performance only; labels are reported claims, not independently verified object evidence. No per-observation arrays or ObsIDs."
garg2026_source,,primary_supplement,Author source archive for arXiv:2601.18139v1,Garg et al.; arXiv,https://export.arxiv.org/e-print/2601.18139v1,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,false,false,false,TeX and figures only; member inventory preserved. Does not exclude a release elsewhere.
intzand2002,,primary_paper,Broad-band X-ray measurements of the black hole candidate XTE J1908+094,"in 't Zand, Miller, Oosterbroek and Parmar",https://arxiv.org/html/astro-ph/0205535,2026-09-22T09:49:34.614510+00:00,verified,false,true,true,false,false,false,Figure 2/Section 2 resolve XTE J1908+094 and 4U 1907+097 as different sources. XTE is a BH candidate; 4U is a pulsar. Not the reference-cohort ObsID mapping.
baykal2001,,primary_paper,The steady spin-down rate of 4U 1907+09,Baykal et al.,https://arxiv.org/abs/astro-ph/0011404,2026-09-22T09:49:34.614510+00:00,verified,false,true,true,false,false,false,RXTE pulse timing of an accretion-powered pulsar; independent neutron-star evidence and object naming.
fermi_pulsars,,official_mission_catalog,Gamma-ray pulsars / accreting pulsar list,NASA GBM,https://gammaray.nsstc.nasa.gov/gbm/science/pulsars.html,2026-09-22T09:49:34.614510+00:00,verified,false,false,true,false,false,false,Lists 4U 1907+09 and H 1907+097 together; alias evidence only.
orosz2001,,primary_paper,A Black Hole in the Superluminal source SAX J1819.3-2525 (V4641 Sgr),Orosz et al.,https://arxiv.org/abs/astro-ph/0103045,2026-09-22T09:49:34.614510+00:00,verified,false,true,true,false,false,false,Optical dynamical constraints support BH; title/analysis establishes SAX J1819.3-2525 = V4641 Sgr.
v4641_rxte2005,,primary_paper,X-Ray Observations of V4641 SGR (= SAX J1819.3-2525) During the Brief and Violent Outburst of 2003,Dipankar Maitra and Charles D. Bailyn (2005 preprint; ApJ 2006),https://arxiv.org/abs/astro-ph/0510531,2026-09-22T09:49:34.614510+00:00,verified,false,false,true,false,false,false,Independent explicit equivalence of the two source names; not the ML-cohort observation selection.
sanna2018,,primary_paper,XMM-Newton detection of the 2.1 ms coherent pulsations from IGR J17379-3747,Sanna et al.,https://arxiv.org/abs/1807.08574v2,2026-09-22T09:49:34.614510+00:00,verified,false,true,true,false,false,false,Coherent 2.1-ms pulsations and burst history support NS. Conflicts with the BH label attached to that name in the published ML table; exact RXTE mapping remains unresolved.
rxte_archive,,official_archive,RXTE Archive,NASA HEASARC,https://heasarc.gsfc.nasa.gov/docs/xte/archive.html,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,true,false,false,Official original/standard-product acquisition route; not a verified processed 43-bin release.
xtepublic_docs,,official_archive_documentation,XTEPUBLIC: RXTE Archived Public Data,NASA HEASARC,https://heasarc.gsfc.nasa.gov/W3Browse/all/xtepublic.html,2026-09-22T09:49:34.614510+00:00,verified,true,false,false,false,false,false,Documents ObsIDs/target metadata/products. Table xtepublic unavailable through tested TAP endpoint; xtemaster is available.
xamin_api,,official_api_documentation,HEASARC Access API,NASA HEASARC,https://heasarc.gsfc.nasa.gov/docs/xamin-api.html,2026-09-22T09:49:34.614510+00:00,verified,true,false,false,false,false,false,Describes supported formats and querying. Archive target labels alone do not resolve blended/incorrectly associated spectra.
rxte_cookbook,,official_reduction_documentation,RXTE Cook Book,NASA HEASARC,https://heasarc.gsfc.nasa.gov/docs/xte/recipes/cook_book.html,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,true,true,false,Entry point to current/legacy reduction recipes; not a processing log for acquired observations.
pca_reduction,,official_reduction_documentation,Reduction and Analysis of PCA Binned-Mode Data,NASA HEASARC,https://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_spectra.html,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,true,true,false,"Standard-2, PCU/anode, GTI, background, deadtime and epoch-matched response procedures; legacy page requires calibration/version review."
pcabackest,,official_reduction_documentation,Using the Latest Pcabackest,NASA HEASARC,https://heasarc.gsfc.nasa.gov/docs/xte/recipes/pcabackest.html,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,true,true,false,Background modeling procedure; no products for this project.
xspec_bbody,,official_model_documentation,"bbody, zbbody: blackbody",NASA HEASARC XSPEC,https://heasarc.gsfc.nasa.gov/docs/software/xspec/manual/XSmodelBbody.html,2026-09-22T09:49:34.614510+00:00,verified,false,false,false,false,false,true,Defines bbody temperature in keV and model normalization; not diskbb and not an observation fit.
