provenance_record_id,observation_id,rxte_obsid,source_id,status,original_location,raw_path,raw_sha256,product_path,product_sha256,acquisition_date,preprocessing_method,feature_extraction_version,source_mapping_reference,source_mapping_status,flux_units,error_units,error_definition,zero_error_policy,zero_error_reason,energy_grid_id,pm_definition_id,processing_log_path,processing_log_sha256
10093-01-01-01,10093-01-01-01,10093-01-01-01,4u_1608_522,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10093-01-01-01/source-d2a55f3e77a0.bin,d2a55f3e77a093b6cb35c19c54b515d91aabc91af59f0f23e36539ef75af4863,data/processed/native/10093-01-01-01.npz,b22d4884a8e5c92d9b7c69a6e3bfa0583da235cd8e4ae725383fe90c5031476a,2026-09-22T10:55:30.005189+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/10093-01-01-01/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,2b1a4d42c88ddc69243eda93a56a3ef6450cf867f748ebfc28244795b93cf70f,,data/provenance/rxte_processing/10093-01-01-01.json,65490a65ddfaf30cd9df53dd33d3fcb08ba4db71cd2564a44aafb1dc7bf4f1a0
10095-01-01-00,10095-01-01-00,10095-01-01-00,4u_0614_09,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10095/10095-01-01-00/stdprod/xp10095010100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10095-01-01-00/source-dd21ab944ee8.bin,dd21ab944ee88f91f682967f2bdff47ddcc25d6f9ebe3dad9ec2c4e96fb5b2f1,data/processed/native/10095-01-01-00.npz,28aeda40add6ac2440da32fb15a3c7ba502ea6795ef3a380761ab33b72e6b8bf,2026-09-22T10:55:16.933203+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/10095-01-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,206be9b73c643bfce9e81126c20e590e878559b17ffe2e462a60eb58cd11edd8,,data/provenance/rxte_processing/10095-01-01-00.json,a13a8f829b9055f68064d776e40855944f507539934d6988174519d23d41cbe7
10410-01-01-00,10410-01-01-00,10410-01-01-00,4u_1728_34,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10410/10410-01-01-00/stdprod/xp10410010100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10410-01-01-00/source-8e693441e2c8.bin,8e693441e2c8de6b4a07abb9f55cd94dd9c141d4530dc9c9ad64925c65dd90c2,data/processed/native/10410-01-01-00.npz,4ac4949ba85f917a474e40b522425d744fa5616eca97e2eea33734b35d17e92d,2026-09-22T10:55:52.228625+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/10410-01-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,50008731cce7697a0a2694f8062654f69a13f5bed802b67486c79681bff8f1f8,,data/provenance/rxte_processing/10410-01-01-00.json,b33d36f1fa9927ce60d76a1ff6ff84a6dbdc46a37c392b404cdb89d98a8455e2
10416-01-01-00,10416-01-01-00,10416-01-01-00,ks_1731_260,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10416/10416-01-01-00/stdprod/xp10416010100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10416-01-01-00/source-475783745a11.bin,475783745a114472e22cc53d0ed627e5153ac083ef3126549bd65b353b87fbf2,data/processed/native/10416-01-01-00.npz,6c8320787d22d0e033078732211717d415447c5d1072fa10f44d18ac0c212f74,2026-09-22T10:56:29.733575+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/10416-01-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,d33fc9eeb85897b3d7828d69728a6392f65e823b67cd03c0cd59497781c67cda,,data/provenance/rxte_processing/10416-01-01-00.json,fad333bea5365e5fd4c0edd201096c04d3742f82bb7bcd175812afafd204d332
10416-01-03-00,10416-01-03-00,10416-01-03-00,ks_1731_260,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10416/10416-01-03-00/stdprod/xp10416010300_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10416-01-03-00/source-34435f581bd8.bin,34435f581bd8674926168dfb0f9ec58b4dc89e0bd95c59e43d40dc58e193f68e,data/processed/native/10416-01-03-00.npz,30ba8dbce98932e0cfcb35028573e1654a44a46d76821fca27206e75ae008bb5,2026-09-22T11:14:30.149701+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/10416-01-03-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,153a69f33a0ea57a994a92c5c332a466959dcb1404d81893acb993a94c547da5,,data/provenance/rxte_processing/10416-01-03-00.json,2f9ae76db8459fa8eebd7761dfd5251da0f09e7945d43bd3d986d40d207c0ae6
10420-01-01-00,10420-01-01-00,10420-01-01-00,gx_339_4,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10420/10420-01-01-00/stdprod/xp10420010100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10420-01-01-00/source-2c7f8ffcc06e.bin,2c7f8ffcc06e61f7f087867388c721d063cb1654885fcbd749effc6ae337030c,data/processed/native/10420-01-01-00.npz,bbcaf1b630ac8b5ffb25cbfff76266e6b4a9599d7f185bcf2903f488193fe7ff,2026-09-22T10:56:16.871421+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/10420-01-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,822861d489eac2cd21f7ebd6dac5ea7e40f1fada335f8822b772c8b785b1ed6d,,data/provenance/rxte_processing/10420-01-01-00.json,7b1641088162c5bc0b16c44eb1340bff8c2170943f16f4bc1c3c2ee0a6cc46c5
20053-04-01-01,20053-04-01-01,20053-04-01-01,cyg_x_2,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20053/20053-04-01-01/stdprod/xp20053040101_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20053-04-01-01/source-2a9de93f3049.bin,2a9de93f30493f8e1593cc431b5ad4148ab138e2cf339092e98f6da3cd3cddd6,data/processed/native/20053-04-01-01.npz,e98946cefa76595bf1408bdf97d74b4ddf02ea0185f79c934d441346f10029f0,2026-09-22T11:10:41.507501+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20053-04-01-01/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,6c02fb94c2ab8c2248b117e358c0198510a14d0ea4492ae4d67d84bd7fcfb528,,data/provenance/rxte_processing/20053-04-01-01.json,67ef4d26898ae91fe549de193f5ed000abc9ac44f01bd1b59eefea59f45b935d
20084-01-01-00,20084-01-01-00,20084-01-01-00,4u_1735_444,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20084/20084-01-01-00/stdprod/xp20084010100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20084-01-01-00/source-de40a05c7ae4.bin,de40a05c7ae4fbf28f7efd42bb98543001a4a927b7f97c2d85504a5fb07b8b37,data/processed/native/20084-01-01-00.npz,b64a5383b0d3061fa9db8f141de1367d189e2ba5ec32064ccb332fa8df64d83e,2026-09-22T10:55:59.304498+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20084-01-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,0a8d8222f78a42900fdd103778f592c96967263c71711d631455c9b62dba2236,,data/provenance/rxte_processing/20084-01-01-00.json,82b06eec9115ab3239c3218afedfa82972d272a790fedb98e1f9d4b1f4dc0e1d
20084-01-02-03,20084-01-02-03,20084-01-02-03,4u_1735_444,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20084/20084-01-02-03/stdprod/xp20084010203_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20084-01-02-03/source-afa7ee744f75.bin,afa7ee744f75d3928a488ac0172c9f97b3e1abcabd710db4b28d357a238d3d7d,data/processed/native/20084-01-02-03.npz,b81e7ed108c0422a2813c1b465db078346bb31b2d97760ce7b67b55555e4c089,2026-09-22T11:08:25.206392+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20084-01-02-03/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,b39fbc440fa6e6c4664f3676eaab7f3d4870149d48656e773be3c9c0408ae4e7,,data/provenance/rxte_processing/20084-01-02-03.json,611dcd66fb418b33a60845a6c99fb7e0fb4512f692b86718c0a512fd236d0a7d
20084-02-01-00,20084-02-01-00,20084-02-01-00,4u_1702_429,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20084/20084-02-01-00/stdprod/xp20084020100_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20084-02-01-00/source-17eef7dec1ec.bin,17eef7dec1ec2e5ba6dd0e32db853fec61f0d987a6e25052cdfa2a156e28921c,data/processed/native/20084-02-01-00.npz,22ab29d05f5bd2db2db1cb97127dbb5e482232d06ae81ded4eed0c1f2125f8b9,2026-09-22T10:55:40.650016+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20084-02-01-00/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,7af003d30e5a0006d68fcfade1ccbc279683131d7c7c6c391a582fc4baf00959,,data/provenance/rxte_processing/20084-02-01-00.json,2f0f2e2c5738e5ba8c5beae9e6ad98861f63f5d632534336d756d00a5ec9b1d4
20084-02-01-03,20084-02-01-03,20084-02-01-03,4u_1702_429,verified,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO2/P20084/20084-02-01-03/stdprod/xp20084020103_s2.pha.gz,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/20084-02-01-03/source-93f5469fccdd.bin,93f5469fccdd5531e3051d018f635424d43377961b2ccd70dab5a674a8a796c1,data/processed/native/20084-02-01-03.npz,49e8c83959fc7ba831c3dbbeafdbe51af2a8dd0c004f776ffc66c8bcc0bbcb9f,2026-09-22T11:05:52.698926+00:00,PCA_OGIP_RATE43_OVERLAP_V1,PCA_OGIP_RATE43_OVERLAP_V1,data/raw/rxte/20084-02-01-03/acquisition.json,verified,recorded count/s/selected PCU/output bin,recorded count/s/selected PCU/output bin,Propagated archive statistical covariance; calibration/background systematics excluded,no artificial replacements,,97ea569ce8d70f65f0e1a328eec54958d55336d0b99e8da58cbe113912f27360,,data/provenance/rxte_processing/20084-02-01-03.json,11d00eb5d009eaf1fb6bfb0ac0899bed3d6efb24e41fb3bc3e4315ec11143ef6
