published_source_name,published_class_label,published_observation_count,reference_id,cohort_mapping_status,usable
XTEJ1118+480,BH,80,pattnaik2021_source,unresolved,false
IGRJ00291+5934,NS,180,pattnaik2021_source,unresolved,false
1A1246-588,NS,166,pattnaik2021_source,unresolved,false
XTEJ1748-288,BH,91,pattnaik2021_source,unresolved,false
IGRJ17379-3747,BH,784,pattnaik2021_source,unresolved,false
XTEJ1812-182,NS,233,pattnaik2021_source,unresolved,false
XTEJ1908+094,BH,213,pattnaik2021_source,unresolved,false
4U1728-34,NS,423,pattnaik2021_source,unresolved,false
XTEJ1652-453,BH,55,pattnaik2021_source,unresolved,false
H1743-32,BH,558,pattnaik2021_source,unresolved,false
XTEJ1759-220,NS,45,pattnaik2021_source,unresolved,false
SAXJ1808.4-3658,NS,295,pattnaik2021_source,unresolved,false
SWIFTJ1756.9-2508,NS,47,pattnaik2021_source,unresolved,false
MAXIJ1836-194,BH,74,pattnaik2021_source,unresolved,false
SWIFTJ1539.2-6227,BH,145,pattnaik2021_source,unresolved,false
SWIFTJ1713.4-4219,BH,31,pattnaik2021_source,unresolved,false
GRS1737-31,BH,14,pattnaik2021_source,unresolved,false
GRS1747-312,NS,215,pattnaik2021_source,unresolved,false
TERZAN5,NS,125,pattnaik2021_source,unresolved,false
LMCX-2,NS,141,pattnaik2021_source,unresolved,false
4U1630-47,BH,1102,pattnaik2021_source,unresolved,false
XTEJ1720-318,BH,101,pattnaik2021_source,unresolved,false
MAXIJ10556-332,NS,262,pattnaik2021_source,unresolved,false
4U1608-52,NS,1041,pattnaik2021_source,unresolved,false
4U1543-47,BH,67,pattnaik2021_source,unresolved,false
SLX1735-269,NS,83,pattnaik2021_source,unresolved,false
CYGX-2,NS,583,pattnaik2021_source,unresolved,false
NGC6440,NS,87,pattnaik2021_source,unresolved,false
SAXJ1819.3-2525,BH,9,pattnaik2021_source,unresolved,false
4U1746-371,NS,61,pattnaik2021_source,unresolved,false
GX339-4,BH,1163,pattnaik2021_source,unresolved,false
XTEJ1650-500,BH,121,pattnaik2021_source,unresolved,false
XTEJ1550-564,BH,368,pattnaik2021_source,unresolved,false
SWIFTJ1357.2-0933,BH,23,pattnaik2021_source,unresolved,false
AQLX1,NS,555,pattnaik2021_source,unresolved,false
MAXIJ1543-564,BH,268,pattnaik2021_source,unresolved,false
SAXJ1806.5-2215,NS,50,pattnaik2021_source,unresolved,false
XTEJ1859+226,BH,125,pattnaik2021_source,unresolved,false
IGRJ17497-2821,NS,13,pattnaik2021_source,unresolved,false
4U0614+091,NS,498,pattnaik2021_source,unresolved,false
SAXJ1810.8-2609,NS,36,pattnaik2021_source,unresolved,false
XTEJ1817-330,BH,157,pattnaik2021_source,unresolved,false
HETEJ1900.1-2455,NS,351,pattnaik2021_source,unresolved,false
GROJ1655-40,BH,546,pattnaik2021_source,unresolved,false
4U1705-44,NS,512,pattnaik2021_source,unresolved,false
MXB1658-298,NS,73,pattnaik2021_source,unresolved,false
1A1744-361,NS,49,pattnaik2021_source,unresolved,false
4U1724-307,NS,127,pattnaik2021_source,unresolved,false
SAXJ1750.8-2900,NS,131,pattnaik2021_source,unresolved,false
KS1731-260,NS,75,pattnaik2021_source,unresolved,false
4U1636-53,NS,1563,pattnaik2021_source,unresolved,false
4U1254-690,NS,100,pattnaik2021_source,unresolved,false
V4641SGR,BH,7,pattnaik2021_source,unresolved,false
XTEJ1755-324,BH,10,pattnaik2021_source,unresolved,false
XTEJ2012+381,BH,26,pattnaik2021_source,unresolved,false
GS1354-64,BH,11,pattnaik2021_source,unresolved,false
XTEJ1818-245,BH,56,pattnaik2021_source,unresolved,false
SERX-1,NS,102,pattnaik2021_source,unresolved,false
4U1702-429,NS,225,pattnaik2021_source,unresolved,false
GRS1739-278,BH,11,pattnaik2021_source,unresolved,false
4U1735-44,NS,222,pattnaik2021_source,unresolved,false
