status,url,error,product_type,filename,rxte_obsid,source_id,canonical_source,request_id,accessed_at,status_code,final_url,content_type,path,sha256,bytes
absent_from_directory,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO0/P00013/00013-05-01-00/stdprod/xp00013050100_s2.pha.gz,Exact expected product absent from retrieved directory listing,source,xp00013050100_s2.pha.gz,00013-05-01-00,cyg_x_2,Cyg X-2,,,,,,,,
absent_from_directory,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO0/P00013/00013-05-01-00/stdprod/xp00013050100_b2.pha.gz,Exact expected product absent from retrieved directory listing,background,xp00013050100_b2.pha.gz,00013-05-01-00,cyg_x_2,Cyg X-2,,,,,,,,
absent_from_directory,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO0/P00013/00013-05-01-00/stdprod/xp00013050100.rsp.gz,Exact expected product absent from retrieved directory listing,response,xp00013050100.rsp.gz,00013-05-01-00,cyg_x_2,Cyg X-2,,,,,,,,
absent_from_directory,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO0/P00013/00013-05-01-00/stdprod/xp00013050100_s2a.lc.gz,Exact expected product absent from retrieved directory listing,lightcurve,xp00013050100_s2a.lc.gz,00013-05-01-00,cyg_x_2,Cyg X-2,,,,,,,,
retrieved,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO0/P00013/00013-05-01-00/stdprod/x00013050100.xfl.gz,,filter,x00013050100.xfl.gz,00013-05-01-00,cyg_x_2,Cyg X-2,filter,2026-09-22T11:17:07.785565+00:00,200.0,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO0/P00013/00013-05-01-00/stdprod/x00013050100.xfl.gz,application/x-gzip,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/00013-05-01-00/filter-0569a50e592e.bin,0569a50e592ee98574aa3c0b7abf901d90258411546f2ca72c879327c19fd9ba,14949.0
retrieved,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101_s2.pha.gz,,source,xp10093010101_s2.pha.gz,10093-01-01-01,4u_1608_522,4U 1608-522,source,2026-09-22T10:55:30.005189+00:00,200.0,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101_s2.pha.gz,application/x-gzip,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10093-01-01-01/source-d2a55f3e77a0.bin,d2a55f3e77a093b6cb35c19c54b515d91aabc91af59f0f23e36539ef75af4863,4906.0
retrieved,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101_b2.pha.gz,,background,xp10093010101_b2.pha.gz,10093-01-01-01,4u_1608_522,4U 1608-522,background,2026-09-22T10:55:31.564486+00:00,200.0,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101_b2.pha.gz,application/x-gzip,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10093-01-01-01/background-3c37a44aa64f.bin,3c37a44aa64f07fa33241f9809f006af72376c44bfa329e4779502c186bd9f85,5266.0
retrieved,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101.rsp.gz,,response,xp10093010101.rsp.gz,10093-01-01-01,4u_1608_522,4U 1608-522,response,2026-09-22T10:55:33.004102+00:00,200.0,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101.rsp.gz,application/x-gzip,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10093-01-01-01/response-cc2a8107956a.bin,cc2a8107956a38521f900dcc2fb2cf6c6ad4ded49b29950df48c27c0f48133d1,52593.0
retrieved,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101_s2a.lc.gz,,lightcurve,xp10093010101_s2a.lc.gz,10093-01-01-01,4u_1608_522,4U 1608-522,lightcurve,2026-09-22T10:55:35.037202+00:00,200.0,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/xp10093010101_s2a.lc.gz,application/x-gzip,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10093-01-01-01/lightcurve-f6a304d8f76b.bin,f6a304d8f76b9fd7cfdf8e8363a2fb91e98d2a37e9a80c89c43e7dd314b23255,4976.0
retrieved,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/x10093010101.xfl.gz,,filter,x10093010101.xfl.gz,10093-01-01-01,4u_1608_522,4U 1608-522,filter,2026-09-22T10:55:36.463248+00:00,200.0,https://heasarc.gsfc.nasa.gov/FTP/xte/data/archive/AO1/P10093/10093-01-01-01/stdprod/x10093010101.xfl.gz,application/x-gzip,/Users/youhanwanigasuriya/Documents/New project/bh_ns_source_generalization/data/raw/rxte/10093-01-01-01/filter-9b92591f007b.bin,9b92591f007b08973f2ddc4452c8cc115976c7e808ca380337772fa71248361e,37648.0
