reference_source_name,canonical_source_name,source_id,aliases,reference_class,class_label,classification_status,classification_reference,reference_observation_count,identity_status,ra_deg,dec_deg,notes
XTEJ1118+480,XTE J1118+480,xte_j1118_480,XTEJ1118+480|XTE J1118+480,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,80,VERIFIED,169.54495833333334,48.03678333333333,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
IGRJ00291+5934,IGR J00291+5934,igr_j00291_5934,IGRJ00291+5934|IGR J00291+5934,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,180,VERIFIED,7.262708,59.57192,"MINBAR source catalog: type BPT, 0 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
1A1246-588,,,,NS,UNRESOLVED,UNRESOLVED,,166,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
XTEJ1748-288,,,,BH,UNRESOLVED,UNRESOLVED,,91,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
IGRJ17379-3747,IGR J17379-3747,igr_j17379_3747,IGRJ17379-3747,BH,NS,VERIFIED,https://arxiv.org/abs/1807.08574v2,784,VERIFIED,,,"Coherent millisecond pulsations: Sanna et al. 2018 (see existing registry). Published BH label conflicts; query exact designation, but no spectra admitted without independently verified pointing."
XTEJ1812-182,,,,NS,UNRESOLVED,UNRESOLVED,,233,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
XTEJ1908+094,,,,BH,UNRESOLVED,UNRESOLVED,,213,UNRESOLVED,,,Specific published XTE J1908+094 / 4U 1907+097 attribution conflict preserved. No bulk relabeling; BH identity alone cannot attribute the published spectra.
4U1728-34,4U 1728-34,4u_1728_34,4U1728-34|4U 1728-34,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,423,VERIFIED,262.99033,-33.833763,"MINBAR source catalog: type ABORC, 1173 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
XTEJ1652-453,,,,BH,UNRESOLVED,UNRESOLVED,,55,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
H1743-32,,,,BH,UNRESOLVED,UNRESOLVED,,558,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
XTEJ1759-220,,,,NS,UNRESOLVED,UNRESOLVED,,45,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
SAXJ1808.4-3658,SAX J1808.4-3658,sax_j1808_4_3658,SAXJ1808.4-3658|SAX J1808.4-3658,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,295,VERIFIED,272.115,-36.978863,"MINBAR source catalog: type BOPRT, 12 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
SWIFTJ1756.9-2508,,,,NS,UNRESOLVED,UNRESOLVED,,47,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
MAXIJ1836-194,,,,BH,UNRESOLVED,UNRESOLVED,,74,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
SWIFTJ1539.2-6227,,,,BH,UNRESOLVED,UNRESOLVED,,145,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
SWIFTJ1713.4-4219,,,,BH,UNRESOLVED,UNRESOLVED,,31,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
GRS1737-31,,,,BH,UNRESOLVED,UNRESOLVED,,14,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
GRS1747-312,,,,NS,UNRESOLVED,UNRESOLVED,,215,AMBIGUOUS,,,Multiple compact sources in an unresolved cluster field; object-level attribution requires observation-specific evidence.
TERZAN5,,,,NS,UNRESOLVED,UNRESOLVED,,125,AMBIGUOUS,,,Multiple compact sources in an unresolved cluster field; object-level attribution requires observation-specific evidence.
LMCX-2,,,,NS,UNRESOLVED,UNRESOLVED,,141,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
4U1630-47,,,,BH,UNRESOLVED,UNRESOLVED,,1102,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
XTEJ1720-318,,,,BH,UNRESOLVED,UNRESOLVED,,101,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
MAXIJ10556-332,,,,NS,UNRESOLVED,UNRESOLVED,,262,UNRESOLVED,,,No sufficiently secure identity and classification evidence adopted in this reconstruction.
4U1608-52,4U 1608-522,4u_1608_522,4U1608-52|4U 1608-522,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,1041,ALIAS_VERIFIED,243.1792,-52.42306,"MINBAR source catalog: type ABOST, 145 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4U1543-47,4U 1543-475,4u_1543_475,4U1543-47|4U 1543-475,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,67,ALIAS_VERIFIED,236.78466666666665,-47.669666666666664,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
SLX1735-269,SLX 1735-269,slx_1735_269,SLX1735-269|SLX 1735-269,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,83,VERIFIED,264.57132,-26.994057,"MINBAR source catalog: type BSC, 23 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
CYGX-2,Cyg X-2,cyg_x_2,CYGX-2|Cyg X-2,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,583,VERIFIED,326.17145,38.321415,"MINBAR source catalog: type BZR, 70 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
NGC6440,,,,NS,UNRESOLVED,UNRESOLVED,,87,AMBIGUOUS,,,Multiple compact sources in an unresolved cluster field; object-level attribution requires observation-specific evidence.
SAXJ1819.3-2525,V4641 Sgr,v4641_sgr,SAXJ1819.3-2525|V4641 Sgr|SAX J1819.3-2525,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,9,ALIAS_VERIFIED,274.8399166666666,-25.406972222222223,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
4U1746-371,4U 1746-37,4u_1746_37,4U1746-371|4U 1746-37,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,61,ALIAS_VERIFIED,267.55304,-37.051815,"MINBAR source catalog: type ABDG, 37 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
GX339-4,GX 339-4,gx_339_4,GX339-4|GX 339-4|1H 1659-487,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,1163,ALIAS_VERIFIED,255.70583333333335,-48.789833333333334,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
XTEJ1650-500,,,,BH,UNRESOLVED,UNRESOLVED,,121,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
XTEJ1550-564,XTE J1550-564,xte_j1550_564,XTEJ1550-564|XTE J1550-564,BH,BH,VERIFIED,https://arxiv.org/abs/1510.08869,368,VERIFIED,237.74458333333337,-56.476444444444446,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
SWIFTJ1357.2-0933,,,,BH,UNRESOLVED,UNRESOLVED,,23,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
AQLX1,Aql X-1,aql_x_1,AQLX1|Aql X-1,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,555,ALIAS_VERIFIED,287.81686,0.584958,"MINBAR source catalog: type ABDIORT, 96 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
MAXIJ1543-564,,,,BH,UNRESOLVED,UNRESOLVED,,268,UNRESOLVED,,,BlackCAT candidate or dynamical mass constraint not sufficiently decisive for this conservative primary subset.
SAXJ1806.5-2215,SAX J1806.5-2215,sax_j1806_5_2215,SAXJ1806.5-2215|SAX J1806.5-2215,NS,NS,VERIFIED,https://burst.sci.monash.edu/sources,50,VERIFIED,271.63403,-22.238144,"MINBAR source catalog: type TB, 9 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
