rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes,selection_method,inspection_sample
80431-01-01-00,1a_1744_361,1A 1744-361,X1744-361,NS,NS,80431,8,52954.16675,5879.0,3533.0,AO8/P80431/80431-01-01-00,explicit_designation_and_independent_catalog_position,high,0.0233959596614616,267.08,-36.121,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,True
80431-01-02-03,1a_1744_361,1A 1744-361,X1744-361,NS,NS,80431,8,52958.30841,2880.0,2746.0,AO8/P80431/80431-01-02-03,explicit_designation_and_independent_catalog_position,high,0.023388927330161,267.07999,-36.121,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
80431-01-02-01,1a_1744_361,1A 1744-361,X1744-361,NS,NS,80431,8,52959.48889,3090.0,1914.0,AO8/P80431/80431-01-02-01,explicit_designation_and_independent_catalog_position,high,0.023388927330161,267.07999,-36.121,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
80431-01-02-04,1a_1744_361,1A 1744-361,X1744-361,NS,NS,80431,8,52961.26321,3420.0,2813.0,AO8/P80431/80431-01-02-04,explicit_designation_and_independent_catalog_position,high,0.023388927330161,267.07999,-36.121,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
80431-01-02-05,1a_1744_361,1A 1744-361,X1744-361,NS,NS,80431,8,52962.11953,2460.0,2324.0,AO8/P80431/80431-01-02-05,explicit_designation_and_independent_catalog_position,high,0.023388927330161,267.07999,-36.121,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
80431-01-03-00,1a_1744_361,1A 1744-361,X1744-361,NS,NS,80431,8,52964.29131,3693.0,2815.0,AO8/P80431/80431-01-03-00,explicit_designation_and_independent_catalog_position,high,0.023388927330161,267.07999,-36.121,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
80431-01-03-02,1a_1744_361,1A 1744-361,X1744-361,NS,NS,80431,8,52965.40358,3450.0,2799.0,AO8/P80431/80431-01-03-02,explicit_designation_and_independent_catalog_position,high,0.023388927330161,267.07999,-36.121,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
90058-04-02-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,90058,9,53105.48897,2023.0,1015.0,AO9/P90058/90058-04-02-00,explicit_designation_and_independent_catalog_position,high,0.0239037698753019,267.08,-36.12,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
91050-05-02-00,1a_1744_361,1A 1744-361,A1744-36,NS,NS,91050,10,53570.84299,4767.0,3538.0,AO10/P91050/91050-05-02-00,explicit_designation_and_independent_catalog_position,high,0.0239037698753019,267.08,-36.12,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
91050-05-03-00,1a_1744_361,1A 1744-361,A1744-36,NS,NS,91050,10,53571.76814,4153.0,3533.0,AO10/P91050/91050-05-03-00,explicit_designation_and_independent_catalog_position,high,0.0239037698753019,267.08,-36.12,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
