model,metric,delta,lower,upper
prior,AUROC,0.0,0.0,0.0
prior,balanced_accuracy,0.0,0.0,0.0
prior,MCC,0.0,0.0,0.0
prior,F1,0.0,0.0,0.0
prior,precision,0.0,0.0,0.0
prior,recall,0.0,0.0,0.0
prior,PR_AUC,0.0,0.0,0.0
prior,Brier,0.0,0.0,0.0
prior,accuracy,0.0,0.0,0.0
logistic,AUROC,0.038961038961039085,0.0,0.11688311688311692
logistic,balanced_accuracy,0.07142857142857151,0.0,0.2142857142857144
logistic,MCC,0.10004938537035235,0.0,0.3266756840755231
logistic,F1,0.020351526364477346,0.0,0.061179078014184034
logistic,precision,0.036666666666666625,0.0,0.11060869565217264
logistic,recall,0.0,0.0,0.0
logistic,PR_AUC,0.013840217454432091,-1.1102230246251565e-16,0.0422810239151987
logistic,Brier,0.010461335204692557,-0.0044558469009155265,0.024904292190153953
logistic,accuracy,0.03448275862068961,0.0,0.10344827586206906
forest,AUROC,0.0844155844155845,0.0,0.2272727272727273
forest,balanced_accuracy,0.1428571428571429,0.0,0.2857142857142858
forest,MCC,0.20697980211619227,0.0,0.517502090362836
forest,F1,0.03985507246376818,0.0,0.08333333333333337
forest,precision,0.07051282051282048,0.0,0.15384615384615385
forest,recall,0.0,0.0,0.0
forest,PR_AUC,0.029070248529844855,0.0,0.0761206747980464
forest,Brier,-0.04453304245052536,-0.06242187018105039,-0.028039079884683276
forest,accuracy,0.06896551724137934,0.0,0.13793103448275867
