source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error
1a_1744_361,1A 1744-361,NS,8,0.9791599881893808,0.9641172546238189,0.05479083535519676,0.8192774712143241,0.9879416803102888,1.0,-0.03588274537618108
4u_0614_09,4U 0614+09,NS,8,0.972272615818172,0.836318722943723,0.16083854486127433,0.4602142857142858,1.0,0.875,-0.163681277056277
4u_1254_69,4U 1254-69,NS,8,0.9049757738042286,0.8952064358894406,0.044823330817420785,0.8463504259049485,0.9514132461864016,1.0,-0.1047935641105594
4u_1543_475,4U 1543-475,BH,4,0.8085889148004969,0.797516732320573,0.06947551299126797,0.7198593872714146,0.9021745058688785,0.0,0.797516732320573
4u_1608_522,4U 1608-522,NS,8,0.8512325976807034,0.7943323177466711,0.15719594094263104,0.5207204213824991,0.9754086265329529,1.0,-0.20566768225332888
4u_1636_536,4U 1636-536,NS,8,0.9816092805865975,0.8528754960317462,0.12801015268468402,0.6844682539682541,1.0,1.0,-0.14712450396825383
4u_1702_429,4U 1702-429,NS,8,0.9007654227769301,0.8554185992588259,0.10762770336864111,0.6799667427591308,0.9858684613283302,1.0,-0.1445814007411741
4u_1705_44,4U 1705-44,NS,8,0.9686994115092092,0.9240232964533392,0.09082669165359046,0.7277354321053737,0.9959293200181459,1.0,-0.07597670354666075
4u_1728_34,4U 1728-34,NS,8,0.6542754300372884,0.622570105766912,0.22900737099441346,0.183405848694353,0.9256332788820082,0.625,-0.37742989423308804
4u_1735_444,4U 1735-444,NS,8,0.9401056194713495,0.91970197153853,0.06282426381969958,0.7959760138643444,0.9844865752941699,1.0,-0.08029802846147005
4u_1746_37,4U 1746-37,NS,8,0.9771043908459139,0.9573645915257728,0.07031015691331013,0.7713508913507087,0.9846138552717728,1.0,-0.0426354084742272
aql_x_1,Aql X-1,NS,8,0.9573551881341836,0.9353405384760076,0.05328605648366505,0.8426719991112964,0.9873895473380911,1.0,-0.06465946152399238
cyg_x_2,Cyg X-2,NS,7,0.8173318897557327,0.7855053384799281,0.11989983982963708,0.5455666538673973,0.9665672868242206,1.0,-0.2144946615200719
gro_j1655_40,GRO J1655-40,BH,2,0.657675592490928,0.6463174816985695,0.1278545257015531,0.5184629559970164,0.7741720074001226,0.0,0.6463174816985695
grs_1915_105,GRS 1915+105,BH,4,0.3008432930353151,0.3223372323708296,0.3530233265289559,0.11851911976911976,0.9337915701759593,0.75,0.3223372323708296
gs_1354_64,GS 1354-64,BH,7,0.24399149218822022,0.2803158072086644,0.15635682575929846,0.08902777777777779,0.4618333333333334,1.0,0.2803158072086644
gx_339_4,GX 339-4,BH,7,0.5402271461103272,0.5496767391046365,0.31292808844329806,0.0670436507936508,0.8850896499745028,0.42857142857142855,0.5496767391046365
hete_j1900_1_2455,HETE J1900.1-2455,NS,8,0.7495700128562524,0.7087901586346383,0.14415264473734354,0.50696411451404,0.9691725671515183,1.0,-0.29120984136536165
igr_j00291_5934,IGR J00291+5934,NS,4,0.557582488475999,0.5551346153846154,0.08673785559977425,0.46866208791208785,0.6927857142857143,0.5,-0.4448653846153846
ks_1731_260,KS 1731-260,NS,8,0.9722483013359006,0.6972074002386502,0.2458963176590871,0.3886025641025641,1.0,0.625,-0.30279259976134976
mxb_1658_298,MXB 1658-298,NS,8,0.8543233415666782,0.8130856500280856,0.23486913219525396,0.19265831300773756,0.9228966549000472,0.875,-0.18691434997191436
sax_j1750_8_2900,SAX J1750.8-2900,NS,8,0.8982403007117207,0.8612849905729538,0.09465588157496797,0.7337825863348338,0.9805858962539318,1.0,-0.13871500942704618
sax_j1806_5_2215,SAX J1806.5-2215,NS,8,0.8704862725196111,0.8528163227135452,0.07683382419895333,0.733712750392291,0.944464963621261,1.0,-0.14718367728645476
sax_j1808_4_3658,SAX J1808.4-3658,NS,7,0.6674176647312793,0.6397470962967621,0.29742984810073997,0.1662871394579926,0.880110495587135,0.7142857142857143,-0.3602529037032379
sax_j1810_8_2609,SAX J1810.8-2609,NS,7,0.5860248796174808,0.5815648637077209,0.10129540591472704,0.4656025641025641,0.7532619047619048,0.7142857142857143,-0.41843513629227913
ser_x_1,Ser X-1,NS,8,0.9896819555113354,0.9888533412176459,0.0038982077978521328,0.9840378573454519,0.9953356148295046,1.0,-0.011146658782354102
slx_1735_269,SLX 1735-269,NS,8,0.6262816219514472,0.6236241374175694,0.06998762623847625,0.5245183140470063,0.730628826822263,1.0,-0.3763758625824306
v4641_sgr,V4641 Sgr,BH,5,0.2491824262842576,0.3194227383450762,0.19864014153356607,0.03209156217345873,0.5268154328596899,0.6,0.3194227383450762
xte_j1118_480,XTE J1118+480,BH,7,0.8306713160802945,0.8257521217682902,0.04836410747930382,0.7436755727564442,0.8772286598339721,0.0,0.8257521217682902
xte_j1550_564,XTE J1550-564,BH,3,0.254826135517423,0.3366269757921602,0.370869579449927,0.07172469302186284,0.8611067550079686,0.6666666666666666,0.3366269757921602
xte_j1859_226,XTE J1859+226,BH,5,0.7385777589232941,0.6928984554201559,0.2780918696152156,0.17016342763932094,0.9251662387596461,0.2,0.6928984554201559
