source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error
1a_1744_361,1A 1744-361,NS,8,0.6852895412947925,0.6851187139217982,0.013916124469035368,0.6659282645935232,0.7077730768905467,1.0,-0.31488128607820176
4u_0614_09,4U 0614+09,NS,8,0.6124269343792214,0.6108509339588727,0.058513940476408316,0.494791114482427,0.7094655175260328,0.875,-0.3891490660411273
4u_1254_69,4U 1254-69,NS,8,0.6867598285639102,0.686687132947029,0.009065692776241913,0.6772709088225527,0.7045262016631516,1.0,-0.313312867052971
4u_1543_475,4U 1543-475,BH,4,0.6226160774581466,0.6207502256841209,0.0619166367038893,0.5298253747334228,0.6908885159280004,0.0,0.6207502256841209
4u_1608_522,4U 1608-522,NS,8,0.648623911691284,0.6372574166730454,0.12456009155845897,0.43891831781781454,0.8178069393276672,0.875,-0.36274258332695464
4u_1636_536,4U 1636-536,NS,8,0.5847690901264415,0.5799431406130735,0.12938186097510807,0.35976149099527327,0.7363195447667211,0.75,-0.4200568593869265
4u_1702_429,4U 1702-429,NS,8,0.6103688408148675,0.6075396650749814,0.07918001678804158,0.4883837183495955,0.7106387343705627,0.875,-0.39246033492501864
4u_1705_44,4U 1705-44,NS,8,0.6372488987006314,0.6282207008025091,0.1379959653656351,0.4235972327972567,0.7724940871257802,0.75,-0.37177929919749086
4u_1728_34,4U 1728-34,NS,8,0.38409640359729585,0.39110978404018165,0.16165341241277786,0.2190235888589739,0.6635730006490231,0.25,-0.6088902159598184
4u_1735_444,4U 1735-444,NS,8,0.6627708104737584,0.6619640374861278,0.03454428287704416,0.5939766501983378,0.6983245544148511,1.0,-0.33803596251387225
4u_1746_37,4U 1746-37,NS,8,0.6872293844735125,0.6871506241680032,0.009581766382943616,0.669467212136886,0.6975798324815775,1.0,-0.3128493758319968
aql_x_1,Aql X-1,NS,8,0.6908306462031053,0.6761703732188605,0.14116445735797092,0.42539308011835003,0.8627973633484589,0.75,-0.32382962678113947
cyg_x_2,Cyg X-2,NS,7,0.6973785846394503,0.6951036163908556,0.047399738897350906,0.6146086970336193,0.7874850450259853,1.0,-0.3048963836091444
gro_j1655_40,GRO J1655-40,BH,2,0.4218916371064121,0.424950173772621,0.09777453343431738,0.32717564033830365,0.5227247072069384,0.5,0.424950173772621
grs_1915_105,GRS 1915+105,BH,4,0.051429208911194034,0.1851140654103311,0.2898631003644078,0.009057606316223505,0.6869631867154039,0.75,0.1851140654103311
gs_1354_64,GS 1354-64,BH,7,0.3114375495175009,0.32127819517449036,0.10614892408766026,0.1927719257505436,0.4779140537409639,1.0,0.32127819517449036
gx_339_4,GX 339-4,BH,7,0.46683381930751505,0.4829737054035967,0.20717607697196475,0.14329162131996073,0.6864003898140305,0.42857142857142855,0.4829737054035967
hete_j1900_1_2455,HETE J1900.1-2455,NS,8,0.562583636308064,0.5618313052554549,0.04556973610004367,0.5145837900649068,0.6709380300226461,1.0,-0.4381686947445451
igr_j00291_5934,IGR J00291+5934,NS,4,0.5688364408430684,0.5677503183484305,0.07384738118729488,0.4466416362620608,0.6436882223662657,0.75,-0.4322496816515695
ks_1731_260,KS 1731-260,NS,8,0.5699159915946188,0.565302307766599,0.178495454202623,0.28022199659589675,0.7441470703227159,0.625,-0.43469769223340105
mxb_1658_298,MXB 1658-298,NS,8,0.6681664334741344,0.6681350032722587,0.006412816387493067,0.6574438815869905,0.6810679817494404,1.0,-0.3318649967277413
sax_j1750_8_2900,SAX J1750.8-2900,NS,8,0.5849758534462082,0.5824635155525968,0.09918081722065217,0.3992021692997447,0.685586385888789,0.75,-0.4175364844474032
sax_j1806_5_2215,SAX J1806.5-2215,NS,8,0.6387592216239819,0.6381863371846812,0.03128196291436947,0.5810463496013148,0.6785916578179969,1.0,-0.3618136628153188
sax_j1808_4_3658,SAX J1808.4-3658,NS,7,0.5637559213837754,0.5618150490201554,0.09941746158504335,0.39895395084193247,0.6725511055307403,0.7142857142857143,-0.43818495097984456
sax_j1810_8_2609,SAX J1810.8-2609,NS,7,0.5702376468082839,0.569433461606877,0.05162487221004902,0.4873875348450625,0.6525433311388906,0.8571428571428571,-0.430566538393123
ser_x_1,Ser X-1,NS,8,0.746148330459252,0.7460207974198083,0.009904114505822587,0.7289739714882851,0.7618895673190687,1.0,-0.2539792025801917
slx_1735_269,SLX 1735-269,NS,8,0.6388623305645819,0.6387485041118477,0.013643243254772737,0.6239690362378713,0.6601755994484839,1.0,-0.3612514958881523
v4641_sgr,V4641 Sgr,BH,5,0.3440291594438224,0.4000023777525973,0.2308321379701138,0.05220771804978699,0.676465197131448,0.6,0.4000023777525973
xte_j1118_480,XTE J1118+480,BH,7,0.5304260565663245,0.5294327399868709,0.08827206946385713,0.4020210633695914,0.651080908924062,0.42857142857142855,0.5294327399868709
xte_j1550_564,XTE J1550-564,BH,3,0.176571246517181,0.2577415360793965,0.2554896360799224,0.048258022259078825,0.6174341201984436,0.6666666666666666,0.2577415360793965
xte_j1859_226,XTE J1859+226,BH,5,0.5146399607725264,0.5233137058464312,0.17932028806541617,0.18279959127401202,0.6801564051612411,0.2,0.5233137058464312
