source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error
1a_1744_361,1A 1744-361,NS,8,0.6524908709526989,0.6522299253271224,0.019889251428959028,0.6147169508404997,0.6789417502185587,1.0,-0.34777007467287757
4u_0614_09,4U 0614+09,NS,8,0.5972196317116575,0.5956589991192492,0.06137274106626031,0.47907427019986665,0.7063013861905271,0.875,-0.40434100088075076
4u_1254_69,4U 1254-69,NS,8,0.791877378574607,0.7912573868822013,0.01848111279450328,0.7699669061439044,0.8242112670961381,1.0,-0.20874261311779874
4u_1543_475,4U 1543-475,BH,4,0.5748319723384216,0.5739776765071499,0.05629705322863527,0.4889173024459387,0.6352272456693278,0.25,0.5739776765071499
4u_1608_522,4U 1608-522,NS,6,0.6064483617647943,0.589447887648869,0.14117619117813376,0.43317829501921373,0.8731262519295546,0.6666666666666666,-0.410552112351131
4u_1636_536,4U 1636-536,NS,8,0.8111005632788131,0.742888263980263,0.17263918217960517,0.5065739351532937,0.9821415468379603,1.0,-0.257111736019737
4u_1702_429,4U 1702-429,NS,8,0.5847244018262852,0.582491469782636,0.07647012184842918,0.4789388632362638,0.7107590939184251,0.75,-0.417508530217364
4u_1705_44,4U 1705-44,NS,8,0.6247702170136493,0.6145888956660184,0.14933749857123368,0.40137519472369887,0.7930092265279524,0.625,-0.3854111043339816
4u_1728_34,4U 1728-34,NS,7,0.3849357132997439,0.3880690094530395,0.13249781776608147,0.25576814046013013,0.6974025611843414,0.14285714285714285,-0.6119309905469605
4u_1735_444,4U 1735-444,NS,8,0.9898933107524991,0.9628100519567624,0.05487822947787057,0.8233923050057576,0.9993855372885253,1.0,-0.03718994804323761
4u_1746_37,4U 1746-37,NS,7,0.6719771068552822,0.6718287805231198,0.014070126284353925,0.6433194839395453,0.6842537930028317,1.0,-0.3281712194768802
aql_x_1,Aql X-1,NS,8,0.8378036891897146,0.7857363438068572,0.1421248711719606,0.528057922638868,0.9867471502659148,1.0,-0.2142636561931428
cyg_x_2,Cyg X-2,NS,6,0.8312839603049434,0.8288740169423442,0.03254295401795664,0.7694593183424836,0.8771295207881997,1.0,-0.1711259830576558
gs_1354_64,GS 1354-64,BH,7,0.2540195863829991,0.26700234434615633,0.10100265857879828,0.1460692164247401,0.41832314083865607,1.0,0.26700234434615633
gx_339_4,GX 339-4,BH,7,0.47489852303220736,0.48605932527083034,0.18351326814954433,0.16589921549061107,0.6805917773477382,0.2857142857142857,0.48605932527083034
hete_j1900_1_2455,HETE J1900.1-2455,NS,8,0.6228215695747072,0.6213899403547323,0.04677623247649403,0.5668624753815754,0.7313819751687232,1.0,-0.3786100596452677
igr_j00291_5934,IGR J00291+5934,NS,4,0.5509631194896769,0.5503422674359476,0.0680041594048701,0.439205014489992,0.6209804741000935,0.75,-0.4496577325640524
ks_1731_260,KS 1731-260,NS,8,0.553668506677032,0.5493229870002736,0.18061136226811772,0.275007166425566,0.7579633711219032,0.625,-0.4506770129997264
mxb_1658_298,MXB 1658-298,NS,8,0.7429453864818026,0.742552956722677,0.01808918082533113,0.7027285592935204,0.7618209765625071,1.0,-0.25744704327732304
sax_j1750_8_2900,SAX J1750.8-2900,NS,8,0.7902621644110964,0.7478994960438445,0.1555602409097967,0.5450779102931961,0.9344438773003013,1.0,-0.25210050395615546
sax_j1806_5_2215,SAX J1806.5-2215,NS,8,0.7405576716826093,0.738427646856222,0.04086460948182841,0.6774292131406253,0.7954131470940452,1.0,-0.261572353143778
sax_j1808_4_3658,SAX J1808.4-3658,NS,7,0.5468189411388688,0.545735076156214,0.09027385542753956,0.39754424145166806,0.648538742781422,0.7142857142857143,-0.45426492384378603
sax_j1810_8_2609,SAX J1810.8-2609,NS,7,0.6807630569110247,0.6794084311406666,0.040633864898448266,0.6052156819788362,0.7360358682365753,1.0,-0.3205915688593334
ser_x_1,Ser X-1,NS,8,0.7529883026902008,0.7527246791605899,0.014094366162344642,0.7243170439655272,0.7716070103768834,1.0,-0.24727532083941006
slx_1735_269,SLX 1735-269,NS,8,0.5832251104994286,0.5831639938203595,0.013207015805909848,0.5672678948466648,0.6051018650846405,1.0,-0.41683600617964045
v4641_sgr,V4641 Sgr,BH,5,0.31887947265437344,0.3647041347550882,0.19267188127615384,0.0620755487348159,0.5948570723046354,0.8,0.3647041347550882
xte_j1118_480,XTE J1118+480,BH,7,0.6296497003285425,0.6269161002374265,0.06822792095999851,0.5270435293323894,0.7345699956065277,0.0,0.6269161002374265
xte_j1550_564,XTE J1550-564,BH,3,0.1634149864901405,0.26634477545395113,0.2570400537742554,0.024591099774697287,0.6223189422619986,0.6666666666666666,0.26634477545395113
xte_j1859_226,XTE J1859+226,BH,4,0.5761873039774098,0.5753920968356151,0.05534122684160842,0.48665837988478455,0.6360612337786062,0.25,0.5753920968356151
