source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error
1a_1744_361,1A 1744-361,NS,8,0.6679634765935727,0.6676712964608335,0.01970410855280557,0.6321407340502087,0.695488244756699,1.0,-0.33232870353916655
4u_0614_09,4U 0614+09,NS,8,0.5825147431726105,0.5812208621794583,0.059775430272146324,0.470992147009866,0.6938266723161808,0.875,-0.41877913782054166
4u_1254_69,4U 1254-69,NS,8,0.6494960383042109,0.6494265555176975,0.010203313201832714,0.6389428655503945,0.6682417016012295,1.0,-0.35057344448230254
4u_1543_475,4U 1543-475,BH,4,0.5834269397529951,0.5824895491832515,0.054596956458303085,0.5015447255897697,0.645590159295593,0.0,0.5824895491832515
4u_1608_522,4U 1608-522,NS,6,0.6163982172521153,0.5957653873693186,0.14915389659464953,0.42372689723439144,0.8900342724641175,0.6666666666666666,-0.4042346126306814
4u_1636_536,4U 1636-536,NS,8,0.5922936409516504,0.5843066774134373,0.14174895359620876,0.36921811164081436,0.7897441679605448,0.625,-0.41569332258656266
4u_1702_429,4U 1702-429,NS,8,0.5926381115835083,0.5899012388115551,0.08170292565862852,0.47674847968785966,0.7217878482432545,0.75,-0.4100987611884449
4u_1705_44,4U 1705-44,NS,8,0.6521945852509561,0.6386606716575585,0.14764968638356318,0.43239767979147686,0.8246542227540701,0.625,-0.36133932834244153
4u_1728_34,4U 1728-34,NS,7,0.3726846174221306,0.3769079919129298,0.14632286497165123,0.23235877196080632,0.7190102446742397,0.14285714285714285,-0.6230920080870702
4u_1735_444,4U 1735-444,NS,8,0.7703918329236403,0.7633565091392502,0.07381427542428771,0.6019856264542084,0.8440736861119488,1.0,-0.23664349086074976
4u_1746_37,4U 1746-37,NS,7,0.6587061299070806,0.6585009602770148,0.017496415911959346,0.6222697823047227,0.6775256981973846,1.0,-0.34149903972298523
aql_x_1,Aql X-1,NS,8,0.714255738543022,0.684592968914338,0.1635343102725722,0.41464926619408543,0.9328112306198644,0.75,-0.31540703108566204
cyg_x_2,Cyg X-2,NS,6,0.8501069407650396,0.8474456676110241,0.03181970057571626,0.7890522022735571,0.8939852339752832,1.0,-0.15255433238897587
gs_1354_64,GS 1354-64,BH,7,0.3370320491002591,0.34206687616928055,0.08289165812954406,0.23835103041716024,0.4591196856187392,1.0,0.34206687616928055
gx_339_4,GX 339-4,BH,7,0.45380121673655993,0.46638211299531107,0.1781637731072541,0.171257936081643,0.6379024366610618,0.42857142857142855,0.46638211299531107
hete_j1900_1_2455,HETE J1900.1-2455,NS,8,0.5300636834118382,0.5296798092633667,0.041946365193187424,0.48788510594909085,0.6321503824100847,0.75,-0.47032019073663334
igr_j00291_5934,IGR J00291+5934,NS,4,0.532755871204833,0.5325054676804346,0.05971970980536939,0.43515163211676694,0.5947834302011149,0.75,-0.4674945323195654
ks_1731_260,KS 1731-260,NS,8,0.5777911544803207,0.5688535304901422,0.18247989266314238,0.2990260617845045,0.7916226154248964,0.625,-0.4311464695098578
mxb_1658_298,MXB 1658-298,NS,8,0.6276253758123186,0.6276045263014509,0.006198747982151848,0.6177195521950467,0.6367094256046691,1.0,-0.3723954736985491
sax_j1750_8_2900,SAX J1750.8-2900,NS,8,0.5855232684252931,0.582028879123212,0.10146777463744068,0.4065162736126771,0.7036371964357747,0.875,-0.417971120876788
sax_j1806_5_2215,SAX J1806.5-2215,NS,8,0.5992925445616512,0.5988533683436355,0.032594204725029864,0.5440054730043531,0.6446181364785798,1.0,-0.40114663165636455
sax_j1808_4_3658,SAX J1808.4-3658,NS,7,0.5318032786328419,0.5312956396493265,0.08009134504574397,0.39990612174092827,0.6245646655087048,0.7142857142857143,-0.46870436035067353
sax_j1810_8_2609,SAX J1810.8-2609,NS,7,0.5366204218514501,0.5363586646149668,0.04059506898290143,0.47146357483201,0.6016698364985431,0.8571428571428571,-0.46364133538503316
ser_x_1,Ser X-1,NS,8,0.781802480662474,0.7814247680033586,0.015368939409015386,0.749321526011083,0.8036857657421296,1.0,-0.21857523199664142
slx_1735_269,SLX 1735-269,NS,8,0.5917703207241376,0.5916876760324956,0.01457768801839452,0.5741045891682192,0.6158552438247584,1.0,-0.4083123239675044
v4641_sgr,V4641 Sgr,BH,5,0.3294028863721818,0.37822691714524226,0.20464221775100683,0.059160630591980054,0.623068131665424,0.6,0.37822691714524226
xte_j1118_480,XTE J1118+480,BH,7,0.5090814128576191,0.5088775844233483,0.07015433142022567,0.4065168885199614,0.6075513070601736,0.5714285714285714,0.5088775844233483
xte_j1550_564,XTE J1550-564,BH,3,0.2209690395829465,0.27249662343277153,0.21190078809056626,0.07623178735399012,0.5667489068079599,0.6666666666666666,0.27249662343277153
xte_j1859_226,XTE J1859+226,BH,4,0.5818985712329084,0.581036053447476,0.05434621620201099,0.49545466820555867,0.6428523892654144,0.25,0.581036053447476
