source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error
1a_1744_361,1A 1744-361,NS,8,0.9625648526682072,0.9123017911082429,0.15111170142269745,0.5160959371999501,0.9914751466948466,1.0,-0.08769820889175706
4u_0614_09,4U 0614+09,NS,8,0.9546901100238622,0.9275888383197638,0.06928224532806074,0.8072205167838099,0.9947870050544791,1.0,-0.0724111616802362
4u_1254_69,4U 1254-69,NS,8,0.9035678444591344,0.9023806134558643,0.01599960116263137,0.8776875853160635,0.9233197214315843,1.0,-0.09761938654413571
4u_1543_475,4U 1543-475,BH,4,0.8406876220372,0.8075125320508914,0.11097047194014487,0.6493819490387327,0.9558887738905135,0.0,0.8075125320508914
4u_1608_522,4U 1608-522,NS,8,0.9070158206454931,0.8547076972706313,0.16402188637505333,0.5199872507138404,0.9628256395221403,1.0,-0.14529230272936866
4u_1636_536,4U 1636-536,NS,8,0.9296607053266208,0.8649738366698165,0.10425126855174376,0.7182678860935919,0.9965185971539426,1.0,-0.13502616333018347
4u_1702_429,4U 1702-429,NS,8,0.9077006674424358,0.8360118261438777,0.15265463521209768,0.5674324183476489,0.9916156861868012,1.0,-0.1639881738561223
4u_1705_44,4U 1705-44,NS,8,0.9507126681520992,0.9339942959658545,0.05039463703602569,0.8169390155282947,0.9924250990680175,1.0,-0.06600570403414552
4u_1728_34,4U 1728-34,NS,8,0.668760419990288,0.6280903564608351,0.22845735118247731,0.23913326853001446,0.92718946347581,0.75,-0.3719096435391649
4u_1735_444,4U 1735-444,NS,8,0.9675905741499837,0.9499389711885469,0.04110411584220223,0.8882801059285454,0.995857450508939,1.0,-0.050061028811453134
4u_1746_37,4U 1746-37,NS,8,0.9713106514849202,0.9540293986200308,0.0662316154872354,0.778804148214499,0.9797336763274447,1.0,-0.04597060137996922
aql_x_1,Aql X-1,NS,8,0.9808589729519975,0.9467113308986386,0.0692888716979329,0.8009569840412145,0.9968758744122447,1.0,-0.05328866910136143
cyg_x_2,Cyg X-2,NS,7,0.9479027433423001,0.9279934139065201,0.055695822581032846,0.8003280479811892,0.9938551540360251,1.0,-0.07200658609347987
gs_1354_64,GS 1354-64,BH,7,0.3019724492285235,0.387339799855645,0.27851492837344405,0.034595238095238096,0.7211721225739883,0.42857142857142855,0.387339799855645
gx_339_4,GX 339-4,BH,7,0.4450069772803878,0.484152033984111,0.2847039345364717,0.0406474358974359,0.8534923413698975,0.42857142857142855,0.484152033984111
hete_j1900_1_2455,HETE J1900.1-2455,NS,8,0.6602674851287029,0.6419530653515797,0.11545177924526728,0.5376388080882285,0.9114916673500535,1.0,-0.3580469346484203
igr_j00291_5934,IGR J00291+5934,NS,4,0.6122490140561522,0.6059707076426303,0.1844511227760796,0.29082098287958885,0.7443828976348934,0.75,-0.3940292923573697
ks_1731_260,KS 1731-260,NS,8,0.8299606674600726,0.766413383549855,0.1682780495129976,0.53610441912592,0.9702230580070252,1.0,-0.233586616450145
mxb_1658_298,MXB 1658-298,NS,8,0.8851165218172594,0.848598805009116,0.18011802498554005,0.3730812451333509,0.935706261698794,0.875,-0.151401194990884
sax_j1750_8_2900,SAX J1750.8-2900,NS,8,0.9091969578429409,0.8278939965957561,0.15637671287555954,0.5408234984957451,0.9947671730339758,1.0,-0.17210600340424387
sax_j1806_5_2215,SAX J1806.5-2215,NS,8,0.8846202457480472,0.8739755494844208,0.05761677617952086,0.7618950635087355,0.9415870251040606,1.0,-0.1260244505155792
sax_j1808_4_3658,SAX J1808.4-3658,NS,7,0.7894223764337913,0.7631768010333025,0.14008149630695552,0.5238138585270938,0.9120585409539058,1.0,-0.23682319896669746
sax_j1810_8_2609,SAX J1810.8-2609,NS,7,0.7804651190723085,0.7609889573600167,0.13739822052863823,0.44700961864338207,0.893007298295468,0.8571428571428571,-0.2390110426399833
ser_x_1,Ser X-1,NS,8,0.9645940206349878,0.961809485746287,0.01504279091608199,0.9385686874507558,0.980172053601851,1.0,-0.038190514253713004
slx_1735_269,SLX 1735-269,NS,8,0.6241802329623186,0.6195532287503267,0.10957566243774038,0.38546792065533686,0.7434136687374183,0.875,-0.3804467712496733
v4641_sgr,V4641 Sgr,BH,5,0.2280520380322016,0.34693719994790684,0.22327090657553464,0.009214285714285713,0.5542249260916597,0.6,0.34693719994790684
xte_j1118_480,XTE J1118+480,BH,7,0.793408126126381,0.7854072387388663,0.06785354189250038,0.6773947583566698,0.8840069403673603,0.0,0.7854072387388663
xte_j1550_564,XTE J1550-564,BH,3,0.34074155569808945,0.3644243803424645,0.24282352070237634,0.1927222222222222,0.7078286965829491,0.6666666666666666,0.3644243803424645
xte_j1859_226,XTE J1859+226,BH,5,0.6941653407949041,0.6477461035896434,0.3089969382244338,0.08976984126984128,0.9526678470813513,0.2,0.6477461035896434
