source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error
1a_1744_361,1A 1744-361,NS,8,0.6741200930181056,0.6739402639877994,0.014880698955704232,0.6536795718206769,0.6985333518629924,1.0,-0.3260597360122006
4u_0614_09,4U 0614+09,NS,8,0.5929618931226656,0.5915976394375873,0.05750682179658224,0.4881096528319382,0.6983437710813339,0.875,-0.40840236056241275
4u_1254_69,4U 1254-69,NS,8,0.6652459671627378,0.6651791578553798,0.009428834549912828,0.6525161051560129,0.6810100042930188,1.0,-0.33482084214462016
4u_1543_475,4U 1543-475,BH,4,0.6036510648150272,0.6022301881861454,0.05877216796935034,0.516999877807953,0.6743554449107579,0.0,0.6022301881861454
4u_1608_522,4U 1608-522,NS,8,0.6488035957363572,0.6315580064313701,0.1408601571190274,0.4297516223812839,0.8596004478304754,0.75,-0.36844199356862994
4u_1636_536,4U 1636-536,NS,8,0.5966542143837409,0.5900461122071161,0.1297383313668354,0.3965037886144154,0.7762482368253301,0.75,-0.4099538877928839
4u_1702_429,4U 1702-429,NS,8,0.5951303314494163,0.5922904697440567,0.08346310222530964,0.4739272601120612,0.7191455124404306,0.75,-0.40770953025594325
4u_1705_44,4U 1705-44,NS,8,0.6486795724091922,0.6370280357011662,0.1425562156197754,0.4228407421810755,0.8071861459823073,0.75,-0.3629719642988338
4u_1728_34,4U 1728-34,NS,8,0.385214434627178,0.39282714434198474,0.19194750849597678,0.2198669127778429,0.7204069131516901,0.25,-0.6071728556580153
4u_1735_444,4U 1735-444,NS,8,0.7262454513645882,0.7235162496641379,0.05394815576701934,0.5936518736222011,0.792394461798774,1.0,-0.27648375033586214
4u_1746_37,4U 1746-37,NS,8,0.6692785072569718,0.669150421302775,0.013276774256402845,0.6383967053531591,0.6829244765087475,1.0,-0.330849578697225
aql_x_1,Aql X-1,NS,8,0.7000947188187195,0.6788474400286459,0.15745137629155415,0.3918919704270642,0.9003870994235291,0.75,-0.32115255997135406
cyg_x_2,Cyg X-2,NS,7,0.8432603893606716,0.8364773718341342,0.049101075596284884,0.7582739085176449,0.9213641429349039,1.0,-0.16352262816586582
gs_1354_64,GS 1354-64,BH,7,0.3167973432585999,0.3250157487150157,0.09793279105267574,0.1938958801920005,0.4659691868951172,1.0,0.3250157487150157
gx_339_4,GX 339-4,BH,7,0.4505088199978611,0.4668469521612534,0.1931366224519038,0.14867228430263696,0.6617715666411945,0.42857142857142855,0.4668469521612534
hete_j1900_1_2455,HETE J1900.1-2455,NS,8,0.5442317583599198,0.5437357544078278,0.04195514034380623,0.5034974761379661,0.6463023547576006,1.0,-0.45626424559217216
igr_j00291_5934,IGR J00291+5934,NS,4,0.5393455517188306,0.5389713103476779,0.0819656411999483,0.4019841645310005,0.6114279264217671,0.75,-0.46102868965232213
ks_1731_260,KS 1731-260,NS,8,0.5691535570361027,0.5625497723855961,0.18477833655090745,0.2800763147733166,0.7752752464212275,0.625,-0.4374502276144039
mxb_1658_298,MXB 1658-298,NS,8,0.6466334274617039,0.6466186559339364,0.004801205937219797,0.6384953747631169,0.6525043831320545,1.0,-0.3533813440660636
sax_j1750_8_2900,SAX J1750.8-2900,NS,8,0.5855458740146072,0.5822234671779987,0.10241418037570366,0.40163581385660846,0.6976724664810908,0.75,-0.41777653282200133
sax_j1806_5_2215,SAX J1806.5-2215,NS,8,0.613287501658844,0.6127788095158546,0.03331872514266991,0.549470078950167,0.6558960957628343,1.0,-0.3872211904841454
sax_j1808_4_3658,SAX J1808.4-3658,NS,7,0.5380716645737705,0.537136505518893,0.09103451198781222,0.3927429751413722,0.6413290025821465,0.7142857142857143,-0.462863494481107
sax_j1810_8_2609,SAX J1810.8-2609,NS,7,0.5507796946349299,0.5503396635036613,0.045196041472888034,0.4831106790813829,0.6180102376942679,0.8571428571428571,-0.44966033649633874
ser_x_1,Ser X-1,NS,8,0.7690180354563579,0.7688451028198693,0.010865350725715423,0.745144125471113,0.7838243523506958,1.0,-0.23115489718013071
slx_1735_269,SLX 1735-269,NS,8,0.6075326115386585,0.607469415685006,0.011833292643791397,0.5872132024055535,0.6269504913337115,1.0,-0.392530584314994
v4641_sgr,V4641 Sgr,BH,5,0.33904139032588976,0.383383066120607,0.2150453035492376,0.07511902804279273,0.645188947201552,0.6,0.383383066120607
xte_j1118_480,XTE J1118+480,BH,7,0.5032170689323902,0.5029889169454422,0.08688832330277213,0.3907783162686728,0.6209204883405075,0.5714285714285714,0.5029889169454422
xte_j1550_564,XTE J1550-564,BH,3,0.2059576525524715,0.26925082093980174,0.22618063208555825,0.05923932906042025,0.5832012903229941,0.6666666666666666,0.26925082093980174
xte_j1859_226,XTE J1859+226,BH,5,0.5048941628682426,0.5104525656763143,0.1496601975872846,0.22549397246108477,0.6407524628950323,0.2,0.5104525656763143
