model,split,metric,difference_HEASoft_minus_original,lower,upper,source_file,source_row,source_sha256
logistic,grouped,AUROC,-0.00649350649350644,-0.038961038961038974,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,balanced_accuracy,-0.07142857142857151,-0.2142857142857143,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,MCC,-0.11069491266913056,-0.33625276291333733,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,F1,-0.020289855072463836,-0.061111111111111116,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,precision,-0.03804347826086951,-0.11454545454545462,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,recall,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,PR_AUC,-0.003030303030303161,-0.016042780748663166,2.2784233310482737e-05,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,Brier,-0.00012054187833213104,-0.002487027596453051,0.002218447139739854,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,grouped,accuracy,-0.034482758620689724,-0.10344827586206895,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[0] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,AUROC,0.006493506493506551,0.0,0.03896103896103886,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,balanced_accuracy,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,MCC,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,F1,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,precision,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,recall,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,PR_AUC,0.0032467532467532756,-4.162504162508185e-05,0.016071126110422447,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,Brier,-0.000657820381776697,-0.002825697328236137,0.0013517514746764032,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
logistic,loso,accuracy,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[1] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,AUROC,0.006493506493506551,0.0,0.038961038961038974,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,balanced_accuracy,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,MCC,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,F1,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,precision,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,recall,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,PR_AUC,0.002673796791443861,-9.322242039604134e-05,0.013636363636363669,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,Brier,0.006557386367777265,-0.001642634451906263,0.015218341320442358,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,grouped,accuracy,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[2] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,AUROC,-0.006493506493506551,-0.03896103896103886,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,balanced_accuracy,-0.0714285714285714,-0.2142857142857144,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,MCC,-0.10693041674583992,-0.37409451121208975,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,F1,-0.019503546099290836,-0.061111111111111116,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,precision,-0.03384615384615386,-0.11036789297658867,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,recall,0.0,0.0,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,PR_AUC,-0.001869342778433536,-0.010018667048805191,8.471451490764944e-05,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,Brier,0.0075749782430953455,0.0014933643333655496,0.014025073135452712,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
forest,loso,accuracy,-0.034482758620689724,-0.10344827586206906,0.0,results/validation_heasoft/heasoft_model_metrics.json,paired[3] and completed tags,909c958fc464ba2aad1cd8828a56d436437352eeb224286b3e6a776d596e0e3b
