rxte_obsid,source_id,canonical_source,class_label,observation_start,duration,query_record,start_mjd,end_mjd,observation_end,time_provenance,time_scale,in_primary,in_heasoft,in_expanded,native_state_label,state_family,state_evidence_level,state_assignment_method,reference_id,reference_title,reference_authors,reference_year,reference_identifier_or_url,evidence_time_start,evidence_time_end,obsid_directly_listed,date_window_match,source_state_taxonomy,state_confidence,ambiguous,notes,common_regime,original_rxte_obsid,original_source_id,original_canonical_source,original_class_label,original_observation_start,original_duration,original_query_record,original_start_mjd,original_end_mjd,original_observation_end,original_time_provenance,original_time_scale,original_in_primary,original_in_heasoft,original_in_expanded,original_native_state_label,original_state_family,original_state_evidence_level,original_state_assignment_method,original_reference_id,original_reference_title,original_reference_authors,original_reference_year,original_reference_identifier_or_url,original_evidence_time_start,original_evidence_time_end,original_obsid_directly_listed,original_date_window_match,original_source_state_taxonomy,original_state_confidence,original_ambiguous,original_notes,original_common_regime,state_provenance,extension_reviewed,eligible_for_confirmatory,extension_source_id,extension_canonical_source,extension_class_label,extension_observation_start,extension_observation_end,extension_start_mjd,extension_end_mjd,extension_native_state_label,extension_common_regime,extension_evidence_level,extension_evidence_method,extension_reference_id,extension_reference_url_or_identifier,extension_direct_obsid_match,extension_date_match,extension_gti_match,extension_whole_observation_supported,extension_ambiguous,extension_conflicted,extension_eligible_for_confirmatory,extension_notes,extension_mapping_rule_id,extension_regime_evidence_level,extension_evidence_time_start,extension_evidence_time_end
80431-01-01-00,1a_1744_361,1A 1744-361,NS,2003-11-11T04:00:07.200,5879.0,data/provenance/reconstruction/query_1a_1744_361.json,52954.16675,52954.23479398148,2003-11-11T05:38:06.200,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,False,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,80431-01-01-00,1a_1744_361,1A 1744-361,NS,2003-11-11T04:00:07.200,5879.0,data/provenance/reconstruction/query_1a_1744_361.json,52954.16675,52954.23479398148,2003-11-11T05:38:06.200,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,False,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,original_state_stage,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
80431-01-02-03,1a_1744_361,1A 1744-361,NS,2003-11-15T07:24:06.624,2880.0,data/provenance/reconstruction/query_1a_1744_361.json,52958.30841,52958.34174333333,2003-11-15T08:12:06.624,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,True,True,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,80431-01-02-03,1a_1744_361,1A 1744-361,NS,2003-11-15T07:24:06.624,2880.0,data/provenance/reconstruction/query_1a_1744_361.json,52958.30841,52958.34174333333,2003-11-15T08:12:06.624,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,True,True,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,original_state_stage,True,False,1a_1744_361,1A 1744-361,NS,2003-11-15T07:24:06.624,2003-11-15T08:12:06.624,52958.30841,52958.34174333333,UNCLASSIFIED,UNMAPPED,UNRESOLVED,bounded_literature_screen_no_secure_new_join,bhattacharyya2006,https://arxiv.org/abs/astro-ph/0607475,False,False,False,False,False,False,False,The published 2003 banana and 2004 atoll-horizontal/low-hard assignments remain in the original catalogue. The hard 2004 pointings are not in the frozen expanded cohort. The first 2005 observation may be transitional; our selected July 19 pointing is later. No blanket outburst-state extension is made. More archival spectra of an already represented state do not count without the frozen processed support.,,UNRESOLVED,,
80431-01-02-01,1a_1744_361,1A 1744-361,NS,2003-11-16T11:44:00.096,3090.0,data/provenance/reconstruction/query_1a_1744_361.json,52959.48889,52959.52465388889,2003-11-16T12:35:30.096,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,80431-01-02-01,1a_1744_361,1A 1744-361,NS,2003-11-16T11:44:00.096,3090.0,data/provenance/reconstruction/query_1a_1744_361.json,52959.48889,52959.52465388889,2003-11-16T12:35:30.096,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,original_state_stage,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
80431-01-02-04,1a_1744_361,1A 1744-361,NS,2003-11-18T06:19:01.344,3420.0,data/provenance/reconstruction/query_1a_1744_361.json,52961.26321,52961.30279333333,2003-11-18T07:16:01.344,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,DIRECT,explicit_ObsID,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,,,True,False,Bhattacharyya atoll/AHB,DIRECT,False,Figure 3 and Table 1 representative 2003 banana observation.,UNMAPPED,80431-01-02-04,1a_1744_361,1A 1744-361,NS,2003-11-18T06:19:01.344,3420.0,data/provenance/reconstruction/query_1a_1744_361.json,52961.26321,52961.30279333333,2003-11-18T07:16:01.344,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,DIRECT,explicit_ObsID,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,,,True,False,Bhattacharyya atoll/AHB,DIRECT,False,Figure 3 and Table 1 representative 2003 banana observation.,UNMAPPED,original_state_stage,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
80431-01-02-05,1a_1744_361,1A 1744-361,NS,2003-11-19T02:52:07.392,2460.0,data/provenance/reconstruction/query_1a_1744_361.json,52962.11953,52962.148002222224,2003-11-19T03:33:07.392,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,80431-01-02-05,1a_1744_361,1A 1744-361,NS,2003-11-19T02:52:07.392,2460.0,data/provenance/reconstruction/query_1a_1744_361.json,52962.11953,52962.148002222224,2003-11-19T03:33:07.392,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,original_state_stage,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
80431-01-03-00,1a_1744_361,1A 1744-361,NS,2003-11-21T06:59:29.184,3693.0,data/provenance/reconstruction/query_1a_1744_361.json,52964.29131,52964.33405305556,2003-11-21T08:01:02.184,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,True,True,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,80431-01-03-00,1a_1744_361,1A 1744-361,NS,2003-11-21T06:59:29.184,3693.0,data/provenance/reconstruction/query_1a_1744_361.json,52964.29131,52964.33405305556,2003-11-21T08:01:02.184,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,True,True,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,original_state_stage,True,False,1a_1744_361,1A 1744-361,NS,2003-11-21T06:59:29.184,2003-11-21T08:01:02.184,52964.29131,52964.33405305556,UNCLASSIFIED,UNMAPPED,UNRESOLVED,bounded_literature_screen_no_secure_new_join,bhattacharyya2006,https://arxiv.org/abs/astro-ph/0607475,False,False,False,False,False,False,False,The published 2003 banana and 2004 atoll-horizontal/low-hard assignments remain in the original catalogue. The hard 2004 pointings are not in the frozen expanded cohort. The first 2005 observation may be transitional; our selected July 19 pointing is later. No blanket outburst-state extension is made. More archival spectra of an already represented state do not count without the frozen processed support.,,UNRESOLVED,,
80431-01-03-02,1a_1744_361,1A 1744-361,NS,2003-11-22T09:41:09.312,3450.0,data/provenance/reconstruction/query_1a_1744_361.json,52965.40358,52965.44351055555,2003-11-22T10:38:39.312,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,80431-01-03-02,1a_1744_361,1A 1744-361,NS,2003-11-22T09:41:09.312,3450.0,data/provenance/reconstruction/query_1a_1744_361.json,52965.40358,52965.44351055555,2003-11-22T10:38:39.312,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_BANANA,NS_ATOLL_BANANA,STRONG,published_proposal_and_year_scope,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,2003-01-01T00:00:00.000,2004-01-01T00:00:00.000,False,True,Bhattacharyya atoll/AHB,STRONG,False,"Section 2: all analysed P80431 2003 observations on banana branch. Year is a campaign filter, not a claim about unobserved days.",UNMAPPED,original_state_stage,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
90058-04-02-00,1a_1744_361,1A 1744-361,NS,2004-04-10T11:44:07.008,2023.0,data/provenance/reconstruction/query_1a_1744_361.json,53105.48897,53105.51238435185,2004-04-10T12:17:50.008,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_AHB_LOW_HARD,NS_ATOLL_AHB,DIRECT,explicit_ObsID,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,,,True,False,Bhattacharyya atoll/AHB,DIRECT,False,Section 2 explicitly identifies both 2004 ObsIDs as low-hard AHB; Section 3 finds no blackbody required. AHB is not renamed Z horizontal branch or extreme island.,HARD_DOMINATED,90058-04-02-00,1a_1744_361,1A 1744-361,NS,2004-04-10T11:44:07.008,2023.0,data/provenance/reconstruction/query_1a_1744_361.json,53105.48897,53105.51238435185,2004-04-10T12:17:50.008,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,NS_ATOLL_AHB_LOW_HARD,NS_ATOLL_AHB,DIRECT,explicit_ObsID,bhattacharyya2006,RXTE Observations of 1A 1744-361: Correlated Spectral and Timing Behavior,"Bhattacharyya, Sudip; Strohmayer, Tod E.; Swank, Jean H.; Markwardt, Craig B.",2006,https://arxiv.org/abs/astro-ph/0607475,,,True,False,Bhattacharyya atoll/AHB,DIRECT,False,Section 2 explicitly identifies both 2004 ObsIDs as low-hard AHB; Section 3 finds no blackbody required. AHB is not renamed Z horizontal branch or extreme island.,HARD_DOMINATED,original_state_stage,False,True,,,,,,,,,,,,,,,,,,,,,,,,,
91050-05-02-00,1a_1744_361,1A 1744-361,NS,2005-07-19T20:13:54.336,4767.0,data/provenance/reconstruction/query_1a_1744_361.json,53570.84299,53570.898163611106,2005-07-19T21:33:21.336,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,True,True,UNCLASSIFIED,UNCLASSIFIED,UNRESOLVED,no_secure_observation_match,,,,,,,,False,False,,UNRESOLVED,False,No secure state assignment in the reviewed evidence; not proof that none exists.,UNMAPPED,91050-05-02-00,1a_1744_361,1A 1744-361,NS,2005-07-19T20:13:54.336,4767.0,data/provenance/reconstruction/query_1a_1744_361.json,53570.84299,53570.898163611106,2005-07-19T21:33:21.336,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,True,True,UNCLASSIFIED,UNCLASSIFIED,UNRESOLVED,no_secure_observation_match,,,,,,,,False,False,,UNRESOLVED,False,No secure state assignment in the reviewed evidence; not proof that none exists.,UNMAPPED,original_state_stage,True,False,1a_1744_361,1A 1744-361,NS,2005-07-19T20:13:54.336,2005-07-19T21:33:21.336,53570.84299,53570.898163611106,UNCLASSIFIED,UNMAPPED,UNRESOLVED,bounded_literature_screen_no_secure_new_join,bhattacharyya2006,https://arxiv.org/abs/astro-ph/0607475,False,False,False,False,False,False,False,The published 2003 banana and 2004 atoll-horizontal/low-hard assignments remain in the original catalogue. The hard 2004 pointings are not in the frozen expanded cohort. The first 2005 observation may be transitional; our selected July 19 pointing is later. No blanket outburst-state extension is made. More archival spectra of an already represented state do not count without the frozen processed support.,,UNRESOLVED,,
91050-05-03-00,1a_1744_361,1A 1744-361,NS,2005-07-20T18:26:07.296,4153.0,data/provenance/reconstruction/query_1a_1744_361.json,53571.76814,53571.81620712963,2005-07-20T19:35:20.296,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,UNCLASSIFIED,UNCLASSIFIED,UNRESOLVED,no_secure_observation_match,,,,,,,,False,False,,UNRESOLVED,False,No secure state assignment in the reviewed evidence; not proof that none exists.,UNMAPPED,91050-05-03-00,1a_1744_361,1A 1744-361,NS,2005-07-20T18:26:07.296,4153.0,data/provenance/reconstruction/query_1a_1744_361.json,53571.76814,53571.81620712963,2005-07-20T19:35:20.296,HEASARC xtemaster start + elapsed duration; not exposure,UTC archive convention; 120s conservative boundary guard,True,False,False,UNCLASSIFIED,UNCLASSIFIED,UNRESOLVED,no_secure_observation_match,,,,,,,,False,False,,UNRESOLVED,False,No secure state assignment in the reviewed evidence; not proof that none exists.,UNMAPPED,original_state_stage,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
