cohort,model,source_id,source_name,true_class,native_state_label,observations,mean_p_NS,median_p_NS,min_p_NS,max_p_NS,fraction_correct
EXPANDED_SOURCE,forest,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,2,0.975650155884564,0.975650155884564,0.9713644415988498,0.9799358701702784,1.0
EXPANDED_SOURCE,forest,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.8575963203463205,0.8575963203463205,0.8575963203463205,0.8575963203463205,0.0
EXPANDED_SOURCE,forest,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.7129960317460318,0.7129960317460318,0.7129960317460318,0.7129960317460318,0.0
EXPANDED_SOURCE,forest,4u_1608_522,4U 1608-522,NS,NS_ATOLL_ISLAND,1,0.8754093289017837,0.8754093289017837,0.8754093289017837,0.8754093289017837,1.0
EXPANDED_SOURCE,forest,gro_j1655_40,GRO J1655-40,BH,BH_LOW_HARD,1,0.5957538947786205,0.5957538947786205,0.5957538947786205,0.5957538947786205,0.0
EXPANDED_SOURCE,forest,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.41175120478395794,0.4446188288795636,0.1020137155187048,0.7502214751859438,0.5714285714285714
EXPANDED_SOURCE,forest,gx_339_4,GX 339-4,BH,BH_HIGH_SOFT,1,0.5703544397780373,0.5703544397780373,0.5703544397780373,0.5703544397780373,0.0
EXPANDED_SOURCE,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.977707423483751,0.9826728998272414,0.9647852317479594,0.9856641388760522,1.0
EXPANDED_SOURCE,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.8301908128666307,0.8301908128666307,0.8301908128666307,0.8301908128666307,1.0
EXPANDED_SOURCE,forest,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,5,0.6942701402084974,0.68291910369831,0.6335673102876356,0.7434989458597978,1.0
EXPANDED_SOURCE,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.9764163502259126,0.9764163502259126,0.9764163502259126,0.9764163502259126,1.0
EXPANDED_SOURCE,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9708330703799564,0.9708330703799564,0.9708330703799564,0.9708330703799564,1.0
EXPANDED_SOURCE,forest,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.2747869722061179,0.2747869722061179,0.1912630471216687,0.3583108972905671,1.0
EXPANDED_SOURCE,forest,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,7,0.817273781503589,0.8379234907535643,0.7543557873251439,0.8775990104669458,0.0
EXPANDED_SOURCE,forest,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,1,0.0953983696042519,0.0953983696042519,0.0953983696042519,0.0953983696042519,1.0
EXPANDED_SOURCE,forest,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,1,0.9096748888016776,0.9096748888016776,0.9096748888016776,0.9096748888016776,0.0
EXPANDED_SOURCE,logistic,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,2,0.7073645296131947,0.7073645296131947,0.7069559823358427,0.7077730768905467,1.0
EXPANDED_SOURCE,logistic,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.6908885159280004,0.6908885159280004,0.6908885159280004,0.6908885159280004,0.0
EXPANDED_SOURCE,logistic,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.6622234897178282,0.6622234897178282,0.6622234897178282,0.6622234897178282,0.0
EXPANDED_SOURCE,logistic,4u_1608_522,4U 1608-522,NS,NS_ATOLL_ISLAND,1,0.6264334611048925,0.6264334611048925,0.6264334611048925,0.6264334611048925,1.0
EXPANDED_SOURCE,logistic,gro_j1655_40,GRO J1655-40,BH,BH_LOW_HARD,1,0.5227247072069384,0.5227247072069384,0.5227247072069384,0.5227247072069384,0.0
EXPANDED_SOURCE,logistic,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.3212781951744903,0.324872350276202,0.1927719257505436,0.4779140537409639,1.0
EXPANDED_SOURCE,logistic,gx_339_4,GX 339-4,BH,BH_HIGH_SOFT,1,0.6864003898140305,0.6864003898140305,0.6864003898140305,0.6864003898140305,0.0
EXPANDED_SOURCE,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.7366411655007884,0.7374898950121715,0.728286531167478,0.7441470703227159,1.0
EXPANDED_SOURCE,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.4699576893570443,0.4699576893570443,0.4699576893570443,0.4699576893570443,0.0
EXPANDED_SOURCE,logistic,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,5,0.5692206730528371,0.5562035456604515,0.5351993111617062,0.6253474522869918,1.0
EXPANDED_SOURCE,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.7289739714882851,0.7289739714882851,0.7289739714882851,0.7289739714882851,1.0
EXPANDED_SOURCE,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.7552818665321673,0.7552818665321673,0.7552818665321673,0.7552818665321673,1.0
EXPANDED_SOURCE,logistic,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.35323110144191805,0.35323110144191805,0.2163627454241288,0.4900994574597073,1.0
EXPANDED_SOURCE,logistic,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,7,0.5294327399868709,0.5056217149042768,0.4020210633695914,0.651080908924062,0.42857142857142855
EXPANDED_SOURCE,logistic,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,1,0.0482580222590788,0.0482580222590788,0.0482580222590788,0.0482580222590788,1.0
EXPANDED_SOURCE,logistic,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,1,0.6037430941933875,0.6037430941933875,0.6037430941933875,0.6037430941933875,0.0
HEASOFT_MATCHED,forest,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,2,0.9850664637789968,0.9850664637789968,0.983304579920976,0.9868283476370174,1.0
HEASOFT_MATCHED,forest,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.7652473675749266,0.7652473675749266,0.7652473675749266,0.7652473675749266,0.0
HEASOFT_MATCHED,forest,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.7373003451512267,0.7373003451512267,0.7373003451512267,0.7373003451512267,0.0
HEASOFT_MATCHED,forest,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.46605967037945345,0.5918055978322778,0.1546531090635176,0.7814528286431571,0.42857142857142855
HEASOFT_MATCHED,forest,gx_339_4,GX 339-4,BH,BH_HIGH_SOFT,1,0.5461721631084369,0.5461721631084369,0.5461721631084369,0.5461721631084369,0.0
HEASOFT_MATCHED,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.9900372710984146,0.991128934811046,0.9878539436731518,0.991128934811046,1.0
HEASOFT_MATCHED,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.7621087375203076,0.7621087375203076,0.7621087375203076,0.7621087375203076,1.0
HEASOFT_MATCHED,forest,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,5,0.7270122287283913,0.7216579808514115,0.6747419625622838,0.7949433765990216,1.0
HEASOFT_MATCHED,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.9852565123252124,0.9852565123252124,0.9852565123252124,0.9852565123252124,1.0
HEASOFT_MATCHED,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9821498590994058,0.9821498590994058,0.9821498590994058,0.9821498590994058,1.0
HEASOFT_MATCHED,forest,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.46196617665315504,0.46196617665315504,0.3075764636663796,0.6163558896399305,0.5
HEASOFT_MATCHED,forest,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,7,0.7880074966350749,0.7992730564916922,0.6743535596467976,0.9119758398869924,0.0
HEASOFT_MATCHED,forest,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,1,0.2995717893217893,0.2995717893217893,0.2995717893217893,0.2995717893217893,1.0
HEASOFT_MATCHED,forest,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,1,0.8734342410230167,0.8734342410230167,0.8734342410230167,0.8734342410230167,0.0
HEASOFT_MATCHED,logistic,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,2,0.6948313963504302,0.6948313963504302,0.6941745479441614,0.695488244756699,1.0
HEASOFT_MATCHED,logistic,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.645590159295593,0.645590159295593,0.645590159295593,0.645590159295593,0.0
HEASOFT_MATCHED,logistic,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.6162143894176272,0.6162143894176272,0.6162143894176272,0.6162143894176272,0.0
HEASOFT_MATCHED,logistic,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.3420668761692805,0.3476332691354081,0.2383510304171602,0.4591196856187392,1.0
