cohort,model,split,bin_lower,bin_upper,sources,BH_sources,NS_sources,mean_p_NS,NS_fraction
PROXY_ONLY,logistic,grouped,0.0,0.2,1,1,0,0.0758180913827327,0.0
PROXY_ONLY,logistic,grouped,0.2,0.4,0,0,0,,
PROXY_ONLY,logistic,grouped,0.4,0.6,9,7,2,0.503533621687672,0.2222222222222222
PROXY_ONLY,logistic,grouped,0.6,0.8,8,1,7,0.6676079740237857,0.875
PROXY_ONLY,logistic,grouped,0.8,1.0,13,0,13,0.9034609811253718,1.0
EXPANDED_FULL43,logistic,grouped,0.0,0.2,3,3,0,0.12876236378311476,0.0
EXPANDED_FULL43,logistic,grouped,0.2,0.4,3,3,0,0.2828796917705065,0.0
EXPANDED_FULL43,logistic,grouped,0.4,0.6,7,1,6,0.5441888495469841,0.8571428571428571
EXPANDED_FULL43,logistic,grouped,0.6,0.8,9,2,7,0.696428548419777,0.7777777777777778
EXPANDED_FULL43,logistic,grouped,0.8,1.0,9,0,9,0.9025303631257618,1.0
PROXY_ONLY,logistic,loso,0.0,0.2,2,2,0,0.1210555156520892,0.0
PROXY_ONLY,logistic,loso,0.2,0.4,2,2,0,0.3322330177868469,0.0
PROXY_ONLY,logistic,loso,0.4,0.6,13,4,9,0.5337763364148962,0.6923076923076923
PROXY_ONLY,logistic,loso,0.6,0.8,5,1,4,0.7371293761628828,0.8
PROXY_ONLY,logistic,loso,0.8,1.0,9,0,9,0.9521738837207275,1.0
EXPANDED_FULL43,logistic,loso,0.0,0.2,2,2,0,0.1140002277141875,0.0
EXPANDED_FULL43,logistic,loso,0.2,0.4,3,2,1,0.3465210375195397,0.3333333333333333
EXPANDED_FULL43,logistic,loso,0.4,0.6,11,4,7,0.5398969140239308,0.6363636363636364
EXPANDED_FULL43,logistic,loso,0.6,0.8,15,1,14,0.662231984987642,0.9333333333333333
EXPANDED_FULL43,logistic,loso,0.8,1.0,0,0,0,,
PROXY_ONLY,forest,grouped,0.0,0.2,2,2,0,0.05489045524830815,0.0
PROXY_ONLY,forest,grouped,0.2,0.4,3,2,1,0.25687878498795985,0.3333333333333333
PROXY_ONLY,forest,grouped,0.4,0.6,2,2,0,0.5547990190080664,0.0
PROXY_ONLY,forest,grouped,0.6,0.8,2,1,1,0.7070105757650162,0.5
PROXY_ONLY,forest,grouped,0.8,1.0,22,2,20,0.8768721820791129,0.9090909090909091
EXPANDED_FULL43,forest,grouped,0.0,0.2,0,0,0,,
EXPANDED_FULL43,forest,grouped,0.2,0.4,4,4,0,0.26221083675630397,0.0
EXPANDED_FULL43,forest,grouped,0.4,0.6,3,1,2,0.561278171401269,0.6666666666666666
EXPANDED_FULL43,forest,grouped,0.6,0.8,6,2,4,0.6822996801650816,0.6666666666666666
EXPANDED_FULL43,forest,grouped,0.8,1.0,18,2,16,0.9152695878388022,0.8888888888888888
PROXY_ONLY,forest,loso,0.0,0.2,2,2,0,0.05061237869498645,0.0
PROXY_ONLY,forest,loso,0.2,0.4,3,2,1,0.2949971885080757,0.3333333333333333
PROXY_ONLY,forest,loso,0.4,0.6,2,2,0,0.49609994586525014,0.0
PROXY_ONLY,forest,loso,0.6,0.8,5,2,3,0.7339845786466089,0.6
PROXY_ONLY,forest,loso,0.8,1.0,19,1,18,0.8733485691165649,0.9473684210526315
EXPANDED_FULL43,forest,loso,0.0,0.2,0,0,0,,
EXPANDED_FULL43,forest,loso,0.2,0.4,4,4,0,0.29080405787279434,0.0
EXPANDED_FULL43,forest,loso,0.4,0.6,3,1,2,0.5160349347723941,0.6666666666666666
EXPANDED_FULL43,forest,loso,0.6,0.8,7,3,4,0.6873073814991697,0.5714285714285714
EXPANDED_FULL43,forest,loso,0.8,1.0,17,1,16,0.8977108928412167,0.9411764705882353
