cohort,model,source_id,source_name,true_class,native_state_label,observations,mean_p_NS,median_p_NS,min_p_NS,max_p_NS,fraction_correct,interpretation
EXPANDED_SOURCE,forest,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.8575963203463205,0.8575963203463205,0.8575963203463205,0.8575963203463205,0.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,forest,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.7129960317460318,0.7129960317460318,0.7129960317460318,0.7129960317460318,0.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.977707423483751,0.9826728998272414,0.9647852317479594,0.9856641388760522,1.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.8301908128666307,0.8301908128666307,0.8301908128666307,0.8301908128666307,1.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.9764163502259126,0.9764163502259126,0.9764163502259126,0.9764163502259126,1.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9708330703799564,0.9708330703799564,0.9708330703799564,0.9708330703799564,1.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,logistic,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.6908885159280004,0.6908885159280004,0.6908885159280004,0.6908885159280004,0.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,logistic,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.6622234897178282,0.6622234897178282,0.6622234897178282,0.6622234897178282,0.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.7366411655007884,0.7374898950121715,0.728286531167478,0.7441470703227159,1.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.4699576893570443,0.4699576893570443,0.4699576893570443,0.4699576893570443,0.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.7289739714882851,0.7289739714882851,0.7289739714882851,0.7289739714882851,1.0,"Descriptive fixed-source variation; not causal, no significance test."
EXPANDED_SOURCE,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.7552818665321673,0.7552818665321673,0.7552818665321673,0.7552818665321673,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,forest,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.7652473675749266,0.7652473675749266,0.7652473675749266,0.7652473675749266,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,forest,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.7373003451512267,0.7373003451512267,0.7373003451512267,0.7373003451512267,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.9900372710984146,0.991128934811046,0.9878539436731518,0.991128934811046,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.7621087375203076,0.7621087375203076,0.7621087375203076,0.7621087375203076,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.9852565123252124,0.9852565123252124,0.9852565123252124,0.9852565123252124,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9821498590994058,0.9821498590994058,0.9821498590994058,0.9821498590994058,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,logistic,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.645590159295593,0.645590159295593,0.645590159295593,0.645590159295593,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,logistic,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.6162143894176272,0.6162143894176272,0.6162143894176272,0.6162143894176272,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.767457759343869,0.7649092880505817,0.7458413745561289,0.7916226154248964,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.4595953342061594,0.4595953342061594,0.4595953342061594,0.4595953342061594,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.749321526011083,0.749321526011083,0.749321526011083,0.749321526011083,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_MATCHED,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.8036857657421296,0.8036857657421296,0.8036857657421296,0.8036857657421296,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,forest,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.785767019146462,0.785767019146462,0.785767019146462,0.785767019146462,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,forest,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.8065460349790725,0.8065460349790725,0.8065460349790725,0.8065460349790725,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.9845605838345715,0.9880586921474084,0.9753143672088976,0.9903086921474084,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.7254202695666554,0.7254202695666554,0.7254202695666554,0.7254202695666554,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.9881533407542824,0.9881533407542824,0.9881533407542824,0.9881533407542824,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9836749954189534,0.9836749954189534,0.9836749954189534,0.9836749954189534,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,logistic,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.6634408483106918,0.6634408483106918,0.6634408483106918,0.6634408483106918,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,logistic,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.63302512458392,0.63302512458392,0.63302512458392,0.63302512458392,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.7594842629983178,0.7581859808464148,0.742641276736829,0.7776255314117095,1.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.4556194217630066,0.4556194217630066,0.4556194217630066,0.4556194217630066,0.0,"Descriptive fixed-source variation; not causal, no significance test."
HEASOFT_VALIDATION,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.743299140564855,0.743299140564855,0.743299140564855,0.743299140564855,1.0,"Descriptive fixed-source variation; not causal, no significance test."
