file,column,description,units_if_explicit
S1_cohort_census.csv,cohort,Named frozen analysis cohort,
S1_cohort_census.csv,observations,Observation count within the named row/category,
S1_cohort_census.csv,sources,Distinct physical-source count within the named row/category,
S1_cohort_census.csv,BH_sources,Count of BH sources within the named cohort/regime; category counts are not additive independent samples,
S1_cohort_census.csv,BH_observations,Count of BH observations within the named cohort/regime; category counts are not additive independent samples,
S1_cohort_census.csv,NS_sources,Count of NS sources within the named cohort/regime; category counts are not additive independent samples,
S1_cohort_census.csv,NS_observations,Count of NS observations within the named cohort/regime; category counts are not additive independent samples,
S1_excluded_observations.csv,rxte_obsid,RXTE archive observation identifier,
S1_excluded_observations.csv,source_id,Canonical physical-source grouping identifier,
S1_excluded_observations.csv,canonical_source,Canonical physical-source identity,
S1_excluded_observations.csv,stage,Recorded project stage,
S1_excluded_observations.csv,exclusion_reason,Recorded reason for exclusion,
S1_label_provenance.csv,source_id,Canonical physical-source grouping identifier,
S1_label_provenance.csv,source_name,Human-readable physical-source name,
S1_label_provenance.csv,compact_object_class,Physical compact-object class,
S1_label_provenance.csv,label_reference,Reference supporting the label,
S1_label_provenance.csv,label_status,Label review disposition,
S1_label_provenance.csv,notes,Retained explanatory annotation; not an inferred measurement,
S1_reference_roster.csv,reference_source_name,Source string from the reference roster,
S1_reference_roster.csv,canonical_source_name,Human-readable canonical source name,
S1_reference_roster.csv,source_id,Canonical physical-source grouping identifier,
S1_reference_roster.csv,aliases,Retained catalogue-name aliases,
S1_reference_roster.csv,reference_class,Class string from the reference roster,
S1_reference_roster.csv,class_label,Adopted physical compact-object class; reference registries may also contain unresolved labels,
S1_reference_roster.csv,classification_status,Physical-class review disposition,
S1_reference_roster.csv,classification_reference,Reference supporting the class assignment,
S1_reference_roster.csv,reference_observation_count,"Observation count reported in the reference roster, not the admitted project count",
S1_reference_roster.csv,identity_status,Identity review disposition,
S1_reference_roster.csv,ra_deg,Right ascension in degrees,degrees
S1_reference_roster.csv,dec_deg,Declination in degrees,degrees
S1_reference_roster.csv,notes,Retained explanatory annotation; not an inferred measurement,
S1_selected_obsids.csv,rxte_obsid,RXTE archive observation identifier,
S1_selected_obsids.csv,source_id,Canonical physical-source grouping identifier,
S1_selected_obsids.csv,canonical_source,Canonical physical-source identity,
S1_selected_obsids.csv,archive_target_name,Target name returned by the archive,
S1_selected_obsids.csv,reference_class,Class string from the reference roster,
S1_selected_obsids.csv,class_label,Adopted physical compact-object class; reference registries may also contain unresolved labels,
S1_selected_obsids.csv,proposal_id,RXTE observing-proposal identifier,
S1_selected_obsids.csv,cycle,Recorded observing cycle,
S1_selected_obsids.csv,observation_start,Observation start in the format/scale recorded by the table,
S1_selected_obsids.csv,duration,Recorded observation duration; use the originating time convention,
S1_selected_obsids.csv,exposure,Recorded exposure under the originating reduction convention,
S1_selected_obsids.csv,archive_identifier,Archive query identifier,
S1_selected_obsids.csv,mapping_method,Documented method used for the shared-regime mapping,
S1_selected_obsids.csv,mapping_confidence,Recorded confidence in the common-regime mapping,
S1_selected_obsids.csv,separation_deg,Angular separation used for source/pointing identity checks,degrees
S1_selected_obsids.csv,ra,Right ascension in the originating catalogue format,
S1_selected_obsids.csv,dec,Declination in the originating catalogue format,
S1_selected_obsids.csv,archive_status,Archive acquisition/review disposition,
S1_selected_obsids.csv,status,Recorded processing/review status,
S1_selected_obsids.csv,query_record,Retained literature-search query or query-record identifier,
S1_selected_obsids.csv,notes,Retained explanatory annotation; not an inferred measurement,
