source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error,median_nearest_training_spectral_distance,model,split
1a_1744_361,1A 1744-361,NS,27,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.11963661372914375,prior,loso
4u_0614_09,4U 0614+09,NS,31,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.11258445317652,prior,loso
4u_1254_69,4U 1254-69,NS,11,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.07744468437686142,prior,loso
4u_1543_475,4U 1543-475,BH,16,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.2205610996085839,prior,loso
4u_1608_522,4U 1608-522,NS,27,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.14168469512412565,prior,loso
4u_1636_536,4U 1636-536,NS,31,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.14866569665879817,prior,loso
4u_1702_429,4U 1702-429,NS,30,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.1071822486559528,prior,loso
4u_1705_44,4U 1705-44,NS,32,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.178403485981535,prior,loso
4u_1728_34,4U 1728-34,NS,32,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.4217313723739823,prior,loso
4u_1735_444,4U 1735-444,NS,31,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.2681133912605532,prior,loso
4u_1746_37,4U 1746-37,NS,17,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.11114322099699671,prior,loso
aql_x_1,Aql X-1,NS,29,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.17862005912500206,prior,loso
cyg_x_2,Cyg X-2,NS,28,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.6598258757011275,prior,loso
gs_1354_64,GS 1354-64,BH,7,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.25511779487835007,prior,loso
gx_339_4,GX 339-4,BH,22,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.3167131394458552,prior,loso
hete_j1900_1_2455,HETE J1900.1-2455,NS,30,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.09093985817073996,prior,loso
igr_j00291_5934,IGR J00291+5934,NS,5,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.05719574589228225,prior,loso
ks_1731_260,KS 1731-260,NS,25,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.14971983397691374,prior,loso
mxb_1658_298,MXB 1658-298,NS,25,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.10527453506790686,prior,loso
sax_j1750_8_2900,SAX J1750.8-2900,NS,32,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.11781651414984923,prior,loso
sax_j1806_5_2215,SAX J1806.5-2215,NS,32,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.07997393655999913,prior,loso
sax_j1808_4_3658,SAX J1808.4-3658,NS,14,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.08382338384858902,prior,loso
sax_j1810_8_2609,SAX J1810.8-2609,NS,31,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.0894364079437851,prior,loso
ser_x_1,Ser X-1,NS,17,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.24804197743256504,prior,loso
slx_1735_269,SLX 1735-269,NS,28,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,0.07346943387056151,prior,loso
v4641_sgr,V4641 Sgr,BH,5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.32607425875676815,prior,loso
xte_j1118_480,XTE J1118+480,BH,22,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.10868447060700928,prior,loso
xte_j1550_564,XTE J1550-564,BH,27,0.5,0.5,0.0,0.5,0.5,0.0,0.5,4.48604887506702,prior,loso
xte_j1859_226,XTE J1859+226,BH,23,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.4359958029349527,prior,loso
1a_1744_361,1A 1744-361,NS,27,0.874656748046219,0.8720253172077318,0.02959331887383711,0.7843037536685703,0.9303419795913758,1.0,-0.1279746827922682,0.11963661372914375,logistic,loso
4u_0614_09,4U 0614+09,NS,31,0.7744659483328552,0.7703436387465649,0.04852458311506336,0.6726663988605719,0.8894734149195463,1.0,-0.22965636125343514,0.11258445317652,logistic,loso
4u_1254_69,4U 1254-69,NS,11,0.8590698330043884,0.8587718670151264,0.00986458986919654,0.8428421905684242,0.8803237921347568,1.0,-0.14122813298487358,0.07744468437686142,logistic,loso
4u_1543_475,4U 1543-475,BH,16,0.541980600173021,0.542423181432875,0.23716557204426084,0.165162692847215,0.7864083356291767,0.375,0.542423181432875,0.2205610996085839,logistic,loso
4u_1608_522,4U 1608-522,NS,27,0.8861444395902304,0.7996700551919447,0.1408774288194951,0.4591979260127768,0.9987869898131934,0.9629629629629629,-0.20032994480805533,0.14168469512412565,logistic,loso
4u_1636_536,4U 1636-536,NS,31,0.8734048580591178,0.84031077194481,0.12573971239117596,0.47650799671345967,0.9833116409692217,0.967741935483871,-0.15968922805519004,0.14866569665879817,logistic,loso
4u_1702_429,4U 1702-429,NS,30,0.8224106582440613,0.8081394517626845,0.08398575152207129,0.6456074853549588,0.9366240402603079,1.0,-0.19186054823731546,0.1071822486559528,logistic,loso
4u_1705_44,4U 1705-44,NS,32,0.9294953988170902,0.8738041488264412,0.11732872731216566,0.5989672295676627,0.9976476427730248,1.0,-0.1261958511735588,0.178403485981535,logistic,loso
