seed,fold,training_sources,training_sources_per_class,test_sources,training_source_ids,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy
200,grouped-00,4,2,6,4u_1702_429|4u_1746_37|gx_339_4|xte_j1118_480,1.0,0.9,0.6324555320336759,0.8888888888888888,1.0,0.8,1.0,0.07784307064911265,0.8333333333333334
200,grouped-00,6,3,6,4u_1608_522|gs_1354_64|gx_339_4|ks_1731_260|ser_x_1|xte_j1118_480,1.0,0.9,0.6324555320336759,0.8888888888888888,1.0,0.8,1.0,0.09435710510200392,0.8333333333333334
200,grouped-00,10,5,6,4u_1543_475|aql_x_1|gs_1354_64|gx_339_4|sax_j1806_5_2215|sax_j1810_8_2609|ser_x_1|slx_1735_269|xte_j1118_480|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03549827554759576,1.0
201,grouped-00,4,2,6,gs_1354_64|sax_j1810_8_2609|ser_x_1|v4641_sgr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03304371358589533,1.0
201,grouped-00,6,3,6,1a_1744_361|4u_1543_475|4u_1746_37|aql_x_1|gs_1354_64|gx_339_4,1.0,0.9,0.6324555320336759,0.8888888888888888,1.0,0.8,1.0,0.058892554656750425,0.8333333333333334
201,grouped-00,10,5,6,4u_1543_475|4u_1705_44|4u_1728_34|aql_x_1|gx_339_4|sax_j1808_4_3658|ser_x_1|v4641_sgr|xte_j1118_480|xte_j1859_226,1.0,0.9,0.6324555320336759,0.8888888888888888,1.0,0.8,1.0,0.07615975817130198,0.8333333333333334
202,grouped-00,4,2,6,aql_x_1|cyg_x_2|gx_339_4|xte_j1859_226,1.0,0.9,0.6324555320336759,0.8888888888888888,1.0,0.8,1.0,0.12474784383472044,0.8333333333333334
202,grouped-00,6,3,6,1a_1744_361|gs_1354_64|gx_339_4|ks_1731_260|sax_j1808_4_3658|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02666135136133684,1.0
202,grouped-00,10,5,6,4u_1705_44|cyg_x_2|gs_1354_64|gx_339_4|ks_1731_260|sax_j1810_8_2609|slx_1735_269|v4641_sgr|xte_j1118_480|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04689535213154944,1.0
203,grouped-00,4,2,6,4u_1543_475|4u_1702_429|gs_1354_64|sax_j1806_5_2215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02552678800319201,1.0
203,grouped-00,6,3,6,4u_0614_09|aql_x_1|gs_1354_64|ks_1731_260|v4641_sgr|xte_j1118_480,0.2,0.5,0.0,0.9090909090909091,0.8333333333333334,1.0,0.81,0.21562629602017222,0.8333333333333334
203,grouped-00,10,5,6,1a_1744_361|4u_1254_69|4u_1608_522|4u_1746_37|cyg_x_2|gs_1354_64|gx_339_4|v4641_sgr|xte_j1118_480|xte_j1859_226,1.0,0.9,0.6324555320336759,0.8888888888888888,1.0,0.8,1.0,0.07769700127919148,0.8333333333333334
204,grouped-00,4,2,6,1a_1744_361|ks_1731_260|v4641_sgr|xte_j1118_480,0.2,0.3,-0.31622776601683794,0.6666666666666666,0.75,0.6,0.81,0.28311689405114177,0.5
204,grouped-00,6,3,6,4u_1543_475|4u_1705_44|ks_1731_260|sax_j1810_8_2609|v4641_sgr|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.046161080114031826,1.0
204,grouped-00,10,5,6,4u_0614_09|4u_1543_475|4u_1608_522|4u_1702_429|aql_x_1|gs_1354_64|ks_1731_260|v4641_sgr|xte_j1118_480|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037175678276370236,1.0
200,grouped-01,4,2,6,gx_339_4|sax_j1750_8_2900|slx_1735_269|xte_j1118_480,1.0,0.75,0.5,0.6666666666666666,1.0,0.5,1.0,0.10979954522507279,0.6666666666666666
200,grouped-01,6,3,6,4u_1608_522|cyg_x_2|gs_1354_64|gx_339_4|ser_x_1|xte_j1550_564,1.0,0.625,0.31622776601683794,0.4,1.0,0.25,1.0,0.1941030125056912,0.5
